Effective date ,Yield To Maturity,,,,,,,,,,,,,
31-01-13,0.75%,,,,,,,,,,,,,
01-02-13,0.74%,,,,,,,,,,,,,
04-02-13,0.75%,,,,,,,,,,,,,
05-02-13,0.74%,,,,,,,,,,,,,
06-02-13,0.73%,,,,,,,,,,,,,
07-02-13,0.72%,,,,,,,,,,,,,
08-02-13,0.72%,,,,,,,,,,,,,
11-02-13,0.72%,,,,,,,,,,,,,
12-02-13,0.71%,,,,,,,,,,,,,
13-02-13,0.71%,,,,,,,,,,,,,
14-02-13,0.72%,,,,,,,,,,,,,
15-02-13,0.72%,,,,,,,,,,,,,
18-02-13,0.71%,,,,,,,,,,,,,
19-02-13,0.71%,,,,,,,,,,,,,
20-02-13,0.71%,,,,,,,,,,,,,
21-02-13,0.71%,,,,,,,,,,,,,
22-02-13,0.71%,,,,,,,,,,,,,
25-02-13,0.70%,,,,,,,,,,,,,
26-02-13,0.70%,,,,,,,,,,,,,
27-02-13,0.70%,,,,,,,,,,,,,
28-02-13,0.70%,,,,,,,,,,,,,
01-03-13,0.69%,,,,,,,,,,,,,
04-03-13,0.68%,,,,,,,,,,,,,
05-03-13,0.69%,,,,,,,,,,,,,
06-03-13,0.69%,,,,,,,,,,,,,
07-03-13,0.69%,,,,,,,,,,,,,
08-03-13,0.67%,,,,,,,,,,,,,
11-03-13,0.67%,,,,,,,,,,,,,
12-03-13,0.67%,,,,,,,,,,,,,
13-03-13,0.67%,,,,,,,,,,,,,
14-03-13,0.66%,,,,,,,,,,,,,
15-03-13,0.66%,,,,,,,,,,,,,
18-03-13,0.66%,,,,,,,,,,,,,
19-03-13,0.65%,,,,,,,,,,,,,
20-03-13,0.66%,,,,,,,,,,,,,
21-03-13,0.66%,,,,,,,,,,,,,
22-03-13,0.66%,,,,,,,,,,,,,
25-03-13,0.66%,,,,,,,,,,,,,
26-03-13,0.65%,,,,,,,,,,,,,
27-03-13,0.65%,,,,,,,,,,,,,
28-03-13,0.65%,,,,,,,,,,,,,
29-03-13,0.67%,,,,,,,,,,,,,
01-04-13,0.67%,,,,,,,,,,,,,
02-04-13,0.67%,,,,,,,,,,,,,
03-04-13,0.67%,,,,,,,,,,,,,
04-04-13,0.66%,,,,,,,,,,,,,
05-04-13,0.65%,,,,,,,,,,,,,
08-04-13,0.65%,,,,,,,,,,,,,
09-04-13,0.66%,,,,,,,,,,,,,
10-04-13,0.70%,,,,,,,,,,,,,
11-04-13,0.68%,,,,,,,,,,,,,
12-04-13,0.68%,,,,,,,,,,,,,
15-04-13,0.73%,,,,,,,,,,,,,
16-04-13,0.72%,,,,,,,,,,,,,
17-04-13,0.71%,,,,,,,,,,,,,
18-04-13,0.71%,,,,,,,,,,,,,
19-04-13,0.70%,,,,,,,,,,,,,
22-04-13,0.71%,,,,,,,,,,,,,
23-04-13,0.70%,,,,,,,,,,,,,
24-04-13,0.70%,,,,,,,,,,,,,
25-04-13,0.70%,,,,,,,,,,,,,
26-04-13,0.70%,,,,,,,,,,,,,
29-04-13,0.69%,,,,,,,,,,,,,
30-04-13,0.71%,,,,,,,,,,,,,
01-05-13,0.69%,,,,,,,,,,,,,
02-05-13,0.67%,,,,,,,,,,,,,
03-05-13,0.67%,,,,,,,,,,,,,
06-05-13,0.67%,,,,,,,,,,,,,
07-05-13,0.69%,,,,,,,,,,,,,
08-05-13,0.67%,,,,,,,,,,,,,
09-05-13,0.67%,,,,,,,,,,,,,
10-05-13,0.70%,,,,,,,,,,,,,
13-05-13,0.72%,,,,,,,,,,,,,
14-05-13,0.76%,,,,,,,,,,,,,
15-05-13,0.74%,,,,,,,,,,,,,
16-05-13,0.73%,,,,,,,,,,,,,
17-05-13,0.72%,,,,,,,,,,,,,
20-05-13,0.73%,,,,,,,,,,,,,
21-05-13,0.74%,,,,,,,,,,,,,
22-05-13,0.74%,,,,,,,,,,,,,
