Effective date ,Yield To Maturity,,,,,,,,,,,,,
31-01-13,4.59%,,,,,,,,,,,,,
01-02-13,4.59%,,,,,,,,,,,,,
04-02-13,4.64%,,,,,,,,,,,,,
05-02-13,4.63%,,,,,,,,,,,,,
06-02-13,4.63%,,,,,,,,,,,,,
07-02-13,4.61%,,,,,,,,,,,,,
08-02-13,4.60%,,,,,,,,,,,,,
11-02-13,4.60%,,,,,,,,,,,,,
12-02-13,4.60%,,,,,,,,,,,,,
13-02-13,4.60%,,,,,,,,,,,,,
14-02-13,4.60%,,,,,,,,,,,,,
15-02-13,4.59%,,,,,,,,,,,,,
18-02-13,4.59%,,,,,,,,,,,,,
19-02-13,4.59%,,,,,,,,,,,,,
20-02-13,4.57%,,,,,,,,,,,,,
21-02-13,4.58%,,,,,,,,,,,,,
22-02-13,4.56%,,,,,,,,,,,,,
25-02-13,4.57%,,,,,,,,,,,,,
26-02-13,4.53%,,,,,,,,,,,,,
27-02-13,4.51%,,,,,,,,,,,,,
28-02-13,4.52%,,,,,,,,,,,,,
01-03-13,4.51%,,,,,,,,,,,,,
04-03-13,4.50%,,,,,,,,,,,,,
05-03-13,4.51%,,,,,,,,,,,,,
06-03-13,4.52%,,,,,,,,,,,,,
07-03-13,4.55%,,,,,,,,,,,,,
08-03-13,4.54%,,,,,,,,,,,,,
11-03-13,4.55%,,,,,,,,,,,,,
12-03-13,4.55%,,,,,,,,,,,,,
13-03-13,4.54%,,,,,,,,,,,,,
14-03-13,4.54%,,,,,,,,,,,,,
15-03-13,4.55%,,,,,,,,,,,,,
18-03-13,4.52%,,,,,,,,,,,,,
19-03-13,4.52%,,,,,,,,,,,,,
20-03-13,4.52%,,,,,,,,,,,,,
21-03-13,4.53%,,,,,,,,,,,,,
22-03-13,4.53%,,,,,,,,,,,,,
25-03-13,4.55%,,,,,,,,,,,,,
26-03-13,4.55%,,,,,,,,,,,,,
27-03-13,4.56%,,,,,,,,,,,,,
28-03-13,4.57%,,,,,,,,,,,,,
29-03-13,4.58%,,,,,,,,,,,,,
01-04-13,4.59%,,,,,,,,,,,,,
02-04-13,4.62%,,,,,,,,,,,,,
03-04-13,4.64%,,,,,,,,,,,,,
04-04-13,4.61%,,,,,,,,,,,,,
05-04-13,4.60%,,,,,,,,,,,,,
08-04-13,4.63%,,,,,,,,,,,,,
09-04-13,4.63%,,,,,,,,,,,,,
10-04-13,4.65%,,,,,,,,,,,,,
11-04-13,4.65%,,,,,,,,,,,,,
