Effective date ,Yield To Maturity,,,,,,,,,,,,,
31-01-13,2.96%,,,,,,,,,,,,,
01-02-13,3.01%,,,,,,,,,,,,,
04-02-13,3.02%,,,,,,,,,,,,,
05-02-13,2.98%,,,,,,,,,,,,,
06-02-13,2.96%,,,,,,,,,,,,,
07-02-13,2.96%,,,,,,,,,,,,,
08-02-13,2.95%,,,,,,,,,,,,,
11-02-13,2.95%,,,,,,,,,,,,,
12-02-13,2.95%,,,,,,,,,,,,,
13-02-13,2.97%,,,,,,,,,,,,,
14-02-13,3.00%,,,,,,,,,,,,,
15-02-13,2.97%,,,,,,,,,,,,,
18-02-13,2.97%,,,,,,,,,,,,,
19-02-13,2.96%,,,,,,,,,,,,,
20-02-13,2.97%,,,,,,,,,,,,,
21-02-13,2.95%,,,,,,,,,,,,,
22-02-13,2.92%,,,,,,,,,,,,,
25-02-13,2.91%,,,,,,,,,,,,,
26-02-13,2.90%,,,,,,,,,,,,,
27-02-13,2.89%,,,,,,,,,,,,,
28-02-13,2.89%,,,,,,,,,,,,,
01-03-13,2.92%,,,,,,,,,,,,,
04-03-13,2.91%,,,,,,,,,,,,,
05-03-13,2.92%,,,,,,,,,,,,,
06-03-13,2.93%,,,,,,,,,,,,,
07-03-13,2.92%,,,,,,,,,,,,,
08-03-13,2.93%,,,,,,,,,,,,,
11-03-13,2.95%,,,,,,,,,,,,,
12-03-13,2.93%,,,,,,,,,,,,,
13-03-13,2.93%,,,,,,,,,,,,,
14-03-13,2.93%,,,,,,,,,,,,,
15-03-13,2.92%,,,,,,,,,,,,,
18-03-13,2.91%,,,,,,,,,,,,,
19-03-13,2.91%,,,,,,,,,,,,,
20-03-13,2.91%,,,,,,,,,,,,,
21-03-13,2.91%,,,,,,,,,,,,,
22-03-13,2.89%,,,,,,,,,,,,,
25-03-13,2.91%,,,,,,,,,,,,,
26-03-13,2.91%,,,,,,,,,,,,,
27-03-13,2.90%,,,,,,,,,,,,,
28-03-13,2.86%,,,,,,,,,,,,,
29-03-13,2.86%,,,,,,,,,,,,,
01-04-13,2.89%,,,,,,,,,,,,,
02-04-13,2.89%,,,,,,,,,,,,,
03-04-13,2.89%,,,,,,,,,,,,,
04-04-13,2.86%,,,,,,,,,,,,,
05-04-13,2.84%,,,,,,,,,,,,,
08-04-13,2.84%,,,,,,,,,,,,,
09-04-13,2.86%,,,,,,,,,,,,,
10-04-13,2.87%,,,,,,,,,,,,,
11-04-13,2.86%,,,,,,,,,,,,,
12-04-13,2.86%,,,,,,,,,,,,,
15-04-13,2.85%,,,,,,,,,,,,,
16-04-13,2.85%,,,,,,,,,,,,,
17-04-13,2.84%,,,,,,,,,,,,,
18-04-13,2.84%,,,,,,,,,,,,,
19-04-13,2.85%,,,,,,,,,,,,,
22-04-13,2.85%,,,,,,,,,,,,,
23-04-13,2.82%,,,,,,,,,,,,,
24-04-13,2.83%,,,,,,,,,,,,,
25-04-13,2.84%,,,,,,,,,,,,,
26-04-13,2.83%,,,,,,,,,,,,,
29-04-13,2.82%,,,,,,,,,,,,,
30-04-13,2.81%,,,,,,,,,,,,,
01-05-13,2.83%,,,,,,,,,,,,,
02-05-13,2.83%,,,,,,,,,,,,,
03-05-13,2.83%,,,,,,,,,,,,,
06-05-13,2.87%,,,,,,,,,,,,,
07-05-13,2.87%,,,,,,,,,,,,,
08-05-13,2.87%,,,,,,,,,,,,,
09-05-13,2.86%,,,,,,,,,,,,,
10-05-13,2.90%,,,,,,,,,,,,,
13-05-13,2.93%,,,,,,,,,,,,,
14-05-13,2.91%,,,,,,,,,,,,,
15-05-13,2.92%,,,,,,,,,,,,,
16-05-13,2.90%,,,,,,,,,,,,,
17-05-13,2.90%,,,,,,,,,,,,,
20-05-13,2.93%,,,,,,,,,,,,,
21-05-13,2.96%,,,,,,,,,,,,,
22-05-13,2.96%,,,,,,,,,,,,,
23-05-13,3.00%,,,,,,,,,,,,,
24-05-13,3.00%,,,,,,,,,,,,,
27-05-13,3.04%,,,,,,,,,,,,,
28-05-13,3.01%,,,,,,,,,,,,,
29-05-13,3.04%,,,,,,,,,,,,,
30-05-13,3.06%,,,,,,,,,,,,,
31-05-13,3.03%,,,,,,,,,,,,,
03-06-13,3.08%,,,,,,,,,,,,,
04-06-13,3.05%,,,,,,,,,,,,,
05-06-13,3.02%,,,,,,,,,,,,,
06-06-13,3.01%,,,,,,,,,,,,,
07-06-13,3.04%,,,,,,,,,,,,,
10-06-13,3.12%,,,,,,,,,,,,,
11-06-13,3.23%,,,,,,,,,,,,,
12-06-13,3.16%,,,,,,,,,,,,,
13-06-13,3.16%,,,,,,,,,,,,,
