Effective date ,Yield To Maturity,,,,,,,,,,,,,
31-01-13,1.33%,,,,,,,,,,,,,
01-02-13,1.35%,,,,,,,,,,,,,
04-02-13,1.36%,,,,,,,,,,,,,
05-02-13,1.35%,,,,,,,,,,,,,
06-02-13,1.36%,,,,,,,,,,,,,
07-02-13,1.36%,,,,,,,,,,,,,
08-02-13,1.35%,,,,,,,,,,,,,
11-02-13,1.35%,,,,,,,,,,,,,
12-02-13,1.35%,,,,,,,,,,,,,
13-02-13,1.35%,,,,,,,,,,,,,
14-02-13,1.35%,,,,,,,,,,,,,
15-02-13,1.35%,,,,,,,,,,,,,
18-02-13,1.34%,,,,,,,,,,,,,
19-02-13,1.34%,,,,,,,,,,,,,
20-02-13,1.34%,,,,,,,,,,,,,
21-02-13,1.34%,,,,,,,,,,,,,
22-02-13,1.33%,,,,,,,,,,,,,
25-02-13,1.33%,,,,,,,,,,,,,
26-02-13,1.32%,,,,,,,,,,,,,
27-02-13,1.34%,,,,,,,,,,,,,
28-02-13,1.33%,,,,,,,,,,,,,
01-03-13,1.34%,,,,,,,,,,,,,
04-03-13,1.33%,,,,,,,,,,,,,
05-03-13,1.34%,,,,,,,,,,,,,
06-03-13,1.34%,,,,,,,,,,,,,
07-03-13,1.35%,,,,,,,,,,,,,
08-03-13,1.37%,,,,,,,,,,,,,
11-03-13,1.39%,,,,,,,,,,,,,
12-03-13,1.38%,,,,,,,,,,,,,
13-03-13,1.37%,,,,,,,,,,,,,
14-03-13,1.37%,,,,,,,,,,,,,
15-03-13,1.37%,,,,,,,,,,,,,
18-03-13,1.35%,,,,,,,,,,,,,
19-03-13,1.36%,,,,,,,,,,,,,
20-03-13,1.36%,,,,,,,,,,,,,
21-03-13,1.34%,,,,,,,,,,,,,
22-03-13,1.34%,,,,,,,,,,,,,
25-03-13,1.34%,,,,,,,,,,,,,
26-03-13,1.34%,,,,,,,,,,,,,
27-03-13,1.34%,,,,,,,,,,,,,
28-03-13,1.34%,,,,,,,,,,,,,
29-03-13,1.34%,,,,,,,,,,,,,
01-04-13,1.34%,,,,,,,,,,,,,
02-04-13,1.35%,,,,,,,,,,,,,
03-04-13,1.35%,,,,,,,,,,,,,
04-04-13,1.35%,,,,,,,,,,,,,
05-04-13,1.35%,,,,,,,,,,,,,
08-04-13,1.33%,,,,,,,,,,,,,
09-04-13,1.32%,,,,,,,,,,,,,
10-04-13,1.35%,,,,,,,,,,,,,
11-04-13,1.35%,,,,,,,,,,,,,
12-04-13,1.35%,,,,,,,,,,,,,
15-04-13,1.34%,,,,,,,,,,,,,
16-04-13,1.34%,,,,,,,,,,,,,
17-04-13,1.33%,,,,,,,,,,,,,
18-04-13,1.33%,,,,,,,,,,,,,
19-04-13,1.34%,,,,,,,,,,,,,
22-04-13,1.34%,,,,,,,,,,,,,
23-04-13,1.34%,,,,,,,,,,,,,
24-04-13,1.33%,,,,,,,,,,,,,
25-04-13,1.33%,,,,,,,,,,,,,
26-04-13,1.33%,,,,,,,,,,,,,
29-04-13,1.32%,,,,,,,,,,,,,
30-04-13,1.31%,,,,,,,,,,,,,
01-05-13,1.31%,,,,,,,,,,,,,
02-05-13,1.30%,,,,,,,,,,,,,
03-05-13,1.28%,,,,,,,,,,,,,
06-05-13,1.28%,,,,,,,,,,,,,
07-05-13,1.29%,,,,,,,,,,,,,
08-05-13,1.29%,,,,,,,,,,,,,
09-05-13,1.28%,,,,,,,,,,,,,
10-05-13,1.31%,,,,,,,,,,,,,
13-05-13,1.31%,,,,,,,,,,,,,
14-05-13,1.31%,,,,,,,,,,,,,
15-05-13,1.32%,,,,,,,,,,,,,
16-05-13,1.32%,,,,,,,,,,,,,
17-05-13,1.32%,,,,,,,,,,,,,
20-05-13,1.33%,,,,,,,,,,,,,
21-05-13,1.32%,,,,,,,,,,,,,
22-05-13,1.34%,,,,,,,,,,,,,
23-05-13,1.34%,,,,,,,,,,,,,
24-05-13,1.35%,,,,,,,,,,,,,
27-05-13,1.34%,,,,,,,,,,,,,
28-05-13,1.35%,,,,,,,,,,,,,
29-05-13,1.37%,,,,,,,,,,,,,
30-05-13,1.36%,,,,,,,,,,,,,
31-05-13,1.35%,,,,,,,,,,,,,
