"Date","Price","Open","High","Low","Change %"
"31-01-2023","0.490","0.480","0.490","0.479","3.81%"
"30-01-2023","0.472","0.478","0.481","0.471","-1.05%"
"29-01-2023","0.477","0.477","0.477","0.477","-0.62%"
"27-01-2023","0.480","0.477","0.482","0.473","4.35%"
"26-01-2023","0.460","0.439","0.460","0.436","5.75%"
"25-01-2023","0.435","0.405","0.438","0.404","7.14%"
"24-01-2023","0.406","0.380","0.410","0.380","6.84%"
"23-01-2023","0.380","0.399","0.400","0.377","-2.94%"
"22-01-2023","0.391","0.396","0.396","0.391","-2.13%"
"20-01-2023","0.400","0.414","0.414","0.383","-2.68%"
"19-01-2023","0.411","0.421","0.426","0.404","-1.91%"
"18-01-2023","0.419","0.508","0.513","0.358","-17.03%"
"17-01-2023","0.505","0.501","0.506","0.500","0.00%"
"16-01-2023","0.505","0.511","0.517","0.500","0.20%"
"15-01-2023","0.504","0.505","0.505","0.504","-0.40%"
"13-01-2023","0.506","0.511","0.553","0.504","0.20%"
"12-01-2023","0.505","0.505","0.506","0.500","1.00%"
"11-01-2023","0.500","0.501","0.505","0.499","-0.79%"
"10-01-2023","0.504","0.500","0.504","0.500","1.51%"
"09-01-2023","0.496","0.497","0.497","0.496","-0.70%"
"06-01-2023","0.500","0.500","0.504","0.500","18.48%"
"05-01-2023","0.422","0.458","0.469","0.418","-7.86%"
"04-01-2023","0.458","0.427","0.461","0.424","9.57%"
"03-01-2023","0.418","0.417","0.418","0.417","0.00%"
"30-12-2022","0.418","0.441","0.452","0.415","-7.93%"
"29-12-2022","0.454","0.455","0.465","0.447","-0.22%"
"28-12-2022","0.455","0.468","0.469","0.447","-1.73%"
"27-12-2022","0.463","0.446","0.471","0.446","3.81%"
"26-12-2022","0.446","0.381","0.451","0.350","23.89%"
"25-12-2022","0.360","0.371","0.371","0.360","-5.76%"
"23-12-2022","0.382","0.395","0.407","0.374","-4.74%"
"22-12-2022","0.401","0.480","0.482","0.388","-16.98%"
"21-12-2022","0.483","0.417","0.485","0.414","14.73%"
"20-12-2022","0.421","0.255","0.470","0.250","64.45%"
"19-12-2022","0.256","0.255","0.256","0.255","3.02%"
"18-12-2022","0.249","0.249","0.249","0.249","-1.00%"
"16-12-2022","0.251","0.254","0.256","0.251","-1.57%"
"15-12-2022","0.255","0.252","0.257","0.251","1.59%"
"14-12-2022","0.251","0.250","0.252","0.250","0.00%"
"13-12-2022","0.251","0.250","0.252","0.250","0.00%"
"12-12-2022","0.251","0.252","0.253","0.250","1.83%"
"11-12-2022","0.247","0.246","0.247","0.246","-1.40%"
"09-12-2022","0.250","0.250","0.251","0.250","0.00%"
"08-12-2022","0.250","0.250","0.251","0.250","0.00%"
"07-12-2022","0.250","0.250","0.251","0.250","-1.57%"
"06-12-2022","0.254","0.254","0.255","0.250","1.20%"
"05-12-2022","0.251","0.253","0.255","0.250","1.01%"
"04-12-2022","0.249","0.249","0.249","0.249","-2.55%"
"02-12-2022","0.255","0.250","0.256","0.250","0.00%"
"01-12-2022","0.255","0.250","0.256","0.250","1.59%"
"30-11-2022","0.251","0.251","0.251","0.250","0.00%"
"29-11-2022","0.251","0.250","0.252","0.250","0.40%"
"28-11-2022","0.250","0.250","0.251","0.250","1.42%"
"27-11-2022","0.247","0.247","0.247","0.247","-1.40%"
"25-11-2022","0.250","0.249","0.251","0.245","2.04%"
"24-11-2022","0.245","0.244","0.246","0.240","1.87%"
"23-11-2022","0.241","0.239","0.241","0.239","-1.84%"
"22-11-2022","0.245","0.248","0.248","0.245","0.00%"
"21-11-2022","0.245","0.250","0.250","0.245","0.41%"
"20-11-2022","0.244","0.244","0.244","0.244","-0.41%"
"18-11-2022","0.245","0.245","0.246","0.244","0.41%"
"17-11-2022","0.244","0.243","0.246","0.242","-0.41%"
"16-11-2022","0.245","0.240","0.245","0.235","-1.21%"
"15-11-2022","0.248","0.244","0.248","0.240","3.33%"
"14-11-2022","0.240","0.240","0.245","0.235","1.69%"
"13-11-2022","0.236","0.235","0.236","0.235","-1.67%"
"11-11-2022","0.240","0.239","0.241","0.235","-4.00%"
"10-11-2022","0.250","0.250","0.251","0.250","0.00%"
"09-11-2022","0.250","0.250","0.251","0.250","0.00%"
"08-11-2022","0.250","0.254","0.254","0.250","0.00%"
"07-11-2022","0.250","0.253","0.253","0.250","0.60%"
"06-11-2022","0.249","0.249","0.249","0.249","-0.60%"
"04-11-2022","0.250","0.251","0.251","0.250","1.42%"
"03-11-2022","0.247","0.246","0.247","0.246","-1.40%"
"02-11-2022","0.250","0.250","0.251","0.250","0.00%"
"01-11-2022","0.250","0.246","0.250","0.246","4.17%"
"31-10-2022","0.240","0.246","0.246","0.240","-0.41%"
"30-10-2022","0.241","0.238","0.241","0.238","-1.63%"
"28-10-2022","0.245","0.249","0.261","0.235","-3.92%"
"27-10-2022","0.255","0.250","0.256","0.250","2.00%"
"26-10-2022","0.250","0.250","0.255","0.250","-1.96%"
"25-10-2022","0.255","0.254","0.256","0.250","0.00%"
"24-10-2022","0.255","0.251","0.256","0.250","3.87%"
"23-10-2022","0.245","0.249","0.249","0.245","-3.73%"
"21-10-2022","0.255","0.251","0.255","0.250","2.00%"
"20-10-2022","0.250","0.255","0.256","0.250","-1.19%"
"19-10-2022","0.253","0.252","0.255","0.250","0.80%"
"18-10-2022","0.251","0.253","0.255","0.250","0.40%"
"17-10-2022","0.250","0.250","0.255","0.250","1.63%"
"16-10-2022","0.246","0.246","0.246","0.246","-1.60%"
"14-10-2022","0.250","0.250","0.250","0.250","0.00%"
"13-10-2022","0.250","0.250","0.250","0.250","0.00%"
"12-10-2022","0.250","0.250","0.251","0.250","0.00%"
"11-10-2022","0.250","0.251","0.251","0.250","1.42%"
"10-10-2022","0.247","0.246","0.247","0.246","-1.40%"
"07-10-2022","0.250","0.250","0.250","0.250","0.00%"
"06-10-2022","0.250","0.248","0.250","0.247","0.00%"
"05-10-2022","0.250","0.248","0.250","0.245","9.17%"
"04-10-2022","0.229","0.237","0.239","0.228","-4.58%"
"03-10-2022","0.240","0.248","0.248","0.240","-0.41%"
"02-10-2022","0.241","0.242","0.242","0.241","-1.63%"
"30-09-2022","0.245","0.251","0.251","0.245","-2.00%"
"29-09-2022","0.250","0.244","0.250","0.242","0.00%"
"28-09-2022","0.250","0.251","0.251","0.250","0.00%"
"27-09-2022","0.250","0.251","0.251","0.250","-0.40%"
"26-09-2022","0.251","0.245","0.251","0.244","4.15%"
"25-09-2022","0.241","0.239","0.241","0.239","2.55%"
"22-09-2022","0.235","0.255","0.256","0.225","-7.84%"
"21-09-2022","0.255","0.256","0.257","0.255","0.00%"
"20-09-2022","0.255","0.256","0.256","0.255","1.80%"
"19-09-2022","0.250","0.251","0.251","0.250","-1.76%"
"16-09-2022","0.255","0.255","0.255","0.250","-0.39%"
"15-09-2022","0.256","0.250","0.256","0.250","2.40%"
"14-09-2022","0.250","0.250","0.251","0.249","2.04%"
"13-09-2022","0.245","0.245","0.246","0.245","0.00%"
"12-09-2022","0.245","0.248","0.250","0.245","1.03%"
"11-09-2022","0.243","0.243","0.243","0.243","-3.00%"
"09-09-2022","0.250","0.250","0.251","0.244","2.04%"
"08-09-2022","0.245","0.244","0.245","0.240","0.00%"
"07-09-2022","0.245","0.246","0.250","0.245","2.08%"
"06-09-2022","0.240","0.238","0.240","0.235","4.35%"
"05-09-2022","0.230","0.238","0.240","0.230","-0.43%"
"04-09-2022","0.231","0.234","0.234","0.231","-3.75%"
"02-09-2022","0.240","0.243","0.243","0.239","0.42%"
"01-09-2022","0.239","0.233","0.244","0.233","6.22%"
"31-08-2022","0.225","0.227","0.228","0.220","0.00%"
"30-08-2022","0.225","0.244","0.244","0.224","-6.25%"
"29-08-2022","0.240","0.229","0.241","0.229","5.73%"
"28-08-2022","0.227","0.219","0.227","0.219","3.18%"
"26-08-2022","0.220","0.220","0.225","0.216","-4.35%"
"25-08-2022","0.230","0.232","0.235","0.229","2.68%"
"24-08-2022","0.224","0.219","0.225","0.219","4.67%"
"23-08-2022","0.214","0.225","0.225","0.214","-2.28%"
"22-08-2022","0.219","0.212","0.219","0.209","5.80%"
"21-08-2022","0.207","0.209","0.209","0.207","4.02%"
