Date,Price,Open,High,Low,Change %
31-01-23,3.81,3.81,3.81,3.81,0.66%
30-01-23,3.785,3.772,3.785,3.772,-0.46%
29-01-23,3.803,3.803,3.803,3.803,0.81%
26-01-23,3.772,3.733,3.772,3.727,1.04%
25-01-23,3.733,3.733,3.733,3.733,-0.97%
24-01-23,3.77,3.77,3.77,3.77,0.79%
20-01-23,3.74,3.74,3.74,3.74,0.19%
19-01-23,3.733,3.939,3.939,3.733,-5.06%
18-01-23,3.932,3.971,3.971,3.932,-0.98%
17-01-23,3.971,3.971,3.971,3.971,0.00%
16-01-23,3.971,3.938,3.971,3.938,-0.03%
15-01-23,3.972,3.972,3.972,3.972,0.86%
13-01-23,3.938,3.977,3.977,3.938,-0.98%
12-01-23,3.977,3.964,3.977,3.964,0.33%
11-01-23,3.964,3.951,3.964,3.951,0.33%
10-01-23,3.951,3.976,3.976,3.951,-0.63%
09-01-23,3.976,4.041,4.041,3.976,-2.48%
08-01-23,4.077,4.077,4.077,4.077,0.89%
06-01-23,4.041,4.022,4.041,4.022,0.47%
05-01-23,4.022,3.989,4.022,3.989,0.83%
04-01-23,3.989,4.015,4.015,3.989,-0.65%
03-01-23,4.015,4.015,4.015,4.015,-0.88%
02-01-23,4.05,4.05,4.05,4.05,0.88%
30-12-22,4.015,4.093,4.093,4.015,-1.91%
29-12-22,4.093,4.092,4.093,4.092,0.02%
28-12-22,4.092,4.092,4.092,4.092,0.47%
27-12-22,4.073,4.073,4.073,4.073,-0.15%
26-12-22,4.079,4.079,4.079,4.079,0.82%
23-12-22,4.046,4.046,4.046,4.046,0.00%
22-12-22,4.046,4.052,4.052,4.046,-0.15%
21-12-22,4.052,4.056,4.056,4.052,-0.10%
20-12-22,4.056,4.013,4.056,4.013,1.07%
19-12-22,4.013,4.013,4.013,4.013,-0.80%
18-12-22,4.045,4.045,4.045,4.045,0.81%
16-12-22,4.013,4,4.013,4,0.48%
15-12-22,3.994,4.11,4.11,3.994,-3.70%
14-12-22,4.148,4.148,4.148,4.148,0.74%
13-12-22,4.117,4.097,4.117,4.097,0.49%
12-12-22,4.097,4.077,4.097,4.077,-0.40%
