"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","162.15","161.19","162.52","161.19","50.66M","0.56%"
"03/02/2023","161.24","162.21","162.76","160.79","58.94M","-0.72%"
"03/01/2023","162.41","161.52","162.41","160.59","80.78M","0.41%"
"02/28/2023","161.74","164.59","165.06","161.47","257.08M","-1.12%"
"02/27/2023","163.57","163.69","165.21","163.01","77.29M","-0.13%"
"02/24/2023","163.78","163.43","164.99","162.92","71.86M","0.23%"
"02/23/2023","163.40","161.34","166.30","161.06","112.62M","1.39%"
"02/22/2023","161.16","159.44","161.30","158.99","59.20M","0.90%"
"02/21/2023","159.73","160.14","160.72","158.97","67.99M","-0.21%"
"02/20/2023","160.06","160.45","160.62","159.86","50.13M","-0.14%"
"02/17/2023","160.29","160.93","161.38","159.33","76.59M","-0.43%"
"02/16/2023","160.99","161.77","162.21","160.99","106.20M","-0.36%"
"02/15/2023","161.57","161.65","162.33","160.33","104.72M","0.04%"
"02/14/2023","161.51","160.32","161.79","160.32","135.09M","0.65%"
"02/13/2023","160.46","161.04","161.71","160.06","125.17M","-0.43%"
"02/10/2023","161.15","158.21","161.15","158.21","138.39M","1.92%"
"02/09/2023","158.12","158.63","159.22","157.79","59.63M","-0.42%"
"02/08/2023","158.79","159.27","160.21","158.32","84.05M","-0.23%"
"02/07/2023","159.15","160.06","160.09","158.86","84.45M","-0.72%"
"02/03/2023","160.30","159.53","160.55","159.20","82.98M","0.51%"
"02/02/2023","159.49","160.07","160.74","159.09","120.08M","-0.53%"
"01/31/2023","160.34","160.35","161.38","159.05","170.48M","-0.67%"
"01/30/2023","161.42","161.69","162.49","161.42","178.91M","-0.01%"
"01/27/2023","161.44","159.65","162.12","159.65","83.72M","1.09%"
"01/26/2023","159.70","160.01","160.94","159.42","89.35M","-0.06%"
"01/25/2023","159.80","158.01","160.34","157.72","120.73M","1.34%"
"01/20/2023","157.69","156.70","158.21","156.65","34.88M","0.59%"
"01/19/2023","156.76","157.17","157.40","156.14","24.58M","-0.51%"
"01/18/2023","157.56","157.42","157.57","156.44","28.95M","0.16%"
"01/17/2023","157.31","157.25","157.46","156.33","44.77M","-0.03%"
"01/16/2023","157.35","155.97","158.02","155.69","51.89M","1.25%"
"01/13/2023","155.41","156.79","157.61","155.04","53.97M","-0.75%"
"01/12/2023","156.58","157.44","157.93","156.10","53.19M","-0.55%"
"01/11/2023","157.45","156.72","157.80","156.35","99.16M","0.43%"
"01/10/2023","156.77","155.98","156.77","154.92","41.01M","0.33%"
"01/09/2023","156.25","154.12","156.43","153.84","46.94M","1.43%"
"01/06/2023","154.04","152.97","154.14","152.28","39.20M","0.80%"
"01/05/2023","152.81","154.06","154.18","152.56","59.45M","-0.68%"
"01/04/2023","153.85","152.60","153.85","152.21","53.67M","0.85%"
"01/03/2023","152.55","152.48","152.56","151.10","28.39M","-0.03%"
"12/30/2022","152.59","151.42","152.72","151.39","33.79M","0.67%"
"12/29/2022","151.57","152.16","152.51","151.08","26.31M","-0.41%"
"12/28/2022","152.20","153.37","153.38","151.31","35.30M","-0.74%"
"12/27/2022","153.34","151.97","153.34","151.66","35.68M","0.81%"
"12/23/2022","152.11","151.23","152.11","150.32","46.25M","0.66%"
"12/22/2022","151.12","150.63","151.55","150.08","39.04M","0.67%"
"12/21/2022","150.12","150.46","151.01","149.73","98.10M","-0.29%"
"12/20/2022","150.55","151.58","151.62","149.94","46.57M","-0.77%"
"12/19/2022","151.72","151.55","152.03","150.85","63.91M","0.46%"
"12/16/2022","151.02","150.83","151.02","149.81","53.20M","-0.07%"
"12/15/2022","151.13","151.85","152.37","150.85","68.61M","-0.48%"
"12/14/2022","151.86","152.51","152.57","150.65","34.26M","-0.48%"
"12/13/2022","152.59","150.09","152.59","149.98","43.12M","-1.60%"
"12/12/2022","155.07","156.67","156.93","154.23","42.43M","-1.11%"
"12/09/2022","156.81","155.47","156.81","155.33","39.24M","0.45%"
"12/08/2022","156.11","155.92","156.62","155.90","55.41M","0.22%"
"12/07/2022","155.77","157.36","157.81","155.77","68.42M","-1.02%"
"12/06/2022","157.38","157.50","158.30","157.26","109.08M","-0.06%"
"12/05/2022","157.48","157.64","158.11","156.89","74.37M","0.31%"
"12/02/2022","157.00","157.57","157.78","156.18","66.76M","-0.34%"
"12/01/2022","157.54","156.70","158.14","156.60","72.61M","0.89%"
"11/30/2022","156.15","154.90","157.05","154.20","77.68M","1.32%"
"11/29/2022","154.12","153.68","155.55","153.42","70.08M","0.26%"
"11/25/2022","153.72","156.32","157.20","153.29","85.69M","-1.28%"
"11/24/2022","155.71","149.09","157.24","148.49","129.46M","5.25%"
"11/23/2022","147.95","147.16","148.30","146.84","33.92M","1.32%"
"11/22/2022","146.02","146.08","146.44","144.47","28.97M","-0.10%"
"11/21/2022","146.17","145.08","146.37","144.79","43.69M","0.01%"
"11/17/2022","146.16","146.46","146.91","145.73","39.32M","-0.08%"
"11/16/2022","146.27","148.55","148.77","146.13","38.43M","-1.61%"
"11/15/2022","148.67","149.00","149.07","147.79","40.89M","-0.32%"
"11/14/2022","149.14","149.65","149.85","148.46","66.23M","-0.25%"
"11/11/2022","149.51","149.23","150.33","149.20","51.47M","0.78%"
"11/10/2022","148.35","148.43","148.71","147.17","61.81M","-0.07%"
"11/09/2022","148.46","148.19","148.54","147.61","62.98M","0.22%"
"11/08/2022","148.13","149.43","149.54","147.28","76.93M","-0.93%"
"11/07/2022","149.52","148.71","149.52","147.59","49.36M","0.50%"
"11/04/2022","148.77","147.73","149.05","147.73","63.63M","0.72%"
"11/03/2022","147.70","149.13","149.34","147.00","39.69M","-1.09%"
"11/02/2022","149.33","150.24","150.24","148.00","50.22M","-0.22%"
"11/01/2022","149.66","150.98","151.14","148.95","83.67M","-0.81%"
"10/31/2022","150.88","150.96","151.95","150.25","51.72M","0.10%"
"10/28/2022","150.73","151.47","152.09","150.36","48.83M","-0.51%"
"10/27/2022","151.51","150.07","151.91","149.61","61.06M","1.34%"
"10/26/2022","149.50","148.54","150.18","148.54","33.82M","0.69%"
"10/25/2022","148.48","148.05","149.75","147.26","33.68M","0.99%"
"10/21/2022","147.03","146.21","147.90","146.21","27.61M","0.75%"
"10/20/2022","145.93","146.23","147.71","145.70","61.67M","0.08%"
"10/19/2022","145.82","147.63","148.61","145.28","40.02M","-0.64%"
"10/18/2022","146.76","145.69","146.76","144.75","49.21M","0.99%"
"10/17/2022","145.32","148.03","148.48","144.82","42.95M","-2.10%"
"10/14/2022","148.44","150.23","150.32","148.44","34.93M","-0.76%"
"10/13/2022","149.57","150.96","150.96","148.79","27.90M","-0.82%"
"10/12/2022","150.81","150.91","151.23","150.00","37.61M","-0.18%"
"10/11/2022","151.08","152.08","152.08","150.47","41.85M","-0.94%"
"10/07/2022","152.52","153.57","154.60","152.09","32.20M","-0.80%"
"10/06/2022","153.75","153.11","154.12","152.61","36.01M","0.45%"
"10/05/2022","153.06","152.35","154.09","152.35","33.31M","0.62%"
"10/04/2022","152.11","150.90","152.11","150.90","36.49M","0.92%"
"10/03/2022","150.72","152.55","152.84","150.28","34.59M","-1.34%"
"09/30/2022","152.76","150.62","152.76","150.58","59.20M","1.56%"
"09/29/2022","150.41","151.50","151.50","149.67","33.87M","-0.58%"
"09/28/2022","151.29","151.89","152.06","149.59","44.23M","-0.38%"
"09/27/2022","151.86","153.98","154.49","151.86","30.77M","-1.20%"
"09/26/2022","153.71","154.41","154.98","153.45","30.32M","-0.47%"
"09/23/2022","154.43","155.93","156.86","154.43","35.30M","-0.89%"
"09/22/2022","155.81","154.52","156.03","154.52","29.51M","0.41%"
"09/21/2022","155.18","157.00","157.03","154.65","24.50M","-0.93%"
"09/20/2022","156.63","155.70","156.75","155.70","32.37M","0.71%"
"09/19/2022","155.52","155.51","156.38","154.27","44.58M","-0.12%"
"09/15/2022","155.71","155.96","156.85","154.68","41.58M","-0.03%"
"09/14/2022","155.75","155.20","156.11","154.85","23.44M","-1.08%"
"09/13/2022","157.45","157.86","158.68","157.08","24.18M","-0.35%"
"09/12/2022","158.00","157.66","158.18","157.03","43.44M","0.25%"
"09/09/2022","157.60","158.07","158.10","156.72","50.94M","-0.14%"
"09/08/2022","157.82","157.41","158.64","156.94","34.78M","0.61%"
"09/07/2022","156.87","157.73","157.73","155.80","47.84M","-0.63%"
"09/06/2022","157.87","156.24","158.11","156.20","39.60M","1.08%"
"09/05/2022","156.19","155.95","156.30","155.16","51.65M","0.19%"
"09/02/2022","155.89","156.04","157.26","155.27","30.20M","-0.08%"
"09/01/2022","156.02","155.92","156.59","154.71","68.67M","-0.05%"
"08/30/2022","156.10","155.45","156.55","155.45","49.29M","0.37%"
"08/29/2022","155.52","156.24","156.54","154.75","38.18M","-1.01%"
"08/26/2022","157.10","157.47","157.62","156.74","72.73M","-0.32%"
"08/25/2022","157.60","156.65","158.15","156.48","46.36M","0.47%"
"08/24/2022","156.87","157.15","157.44","156.67","56.71M","0.04%"
"08/23/2022","156.80","156.96","157.51","156.02","38.61M","-0.29%"
