"Date","Price","Open","High","Low","Change %"
"30-01-2023","2.959","2.868","2.959","2.868","2.83%"
"29-01-2023","2.878","2.878","2.878","2.878","0.37%"
"27-01-2023","2.867","2.795","2.874","2.790","2.61%"
"26-01-2023","2.794","2.797","2.817","2.767","0.04%"
"25-01-2023","2.793","2.841","2.861","2.787","-1.72%"
"20-01-2023","2.842","2.815","2.865","2.815","1.10%"
"19-01-2023","2.811","2.894","2.894","2.794","-2.53%"
"18-01-2023","2.884","2.888","2.948","2.853","0.21%"
"17-01-2023","2.878","2.829","2.899","2.829","1.73%"
"16-01-2023","2.829","2.802","2.846","2.802","1.07%"
"13-01-2023","2.799","2.840","2.840","2.796","-1.48%"
"12-01-2023","2.841","2.863","2.863","2.823","-0.87%"
"11-01-2023","2.866","2.908","2.938","2.853","-1.44%"
"10-01-2023","2.908","2.897","2.917","2.862","0.38%"
"09-01-2023","2.897","2.945","2.945","2.855","-1.98%"
"07-01-2023","2.955","2.955","2.955","2.955","0.56%"
"06-01-2023","2.939","2.980","3.000","2.880","-1.41%"
"05-01-2023","2.981","3.054","3.074","2.963","-2.23%"
"04-01-2023","3.049","3.121","3.121","3.049","-2.40%"
"03-01-2023","3.124","3.089","3.130","3.089","1.03%"
"30-12-2022","3.092","3.103","3.103","3.043","-0.19%"
"29-12-2022","3.098","3.075","3.110","3.050","1.64%"
"28-12-2022","3.048","2.955","3.055","2.955","3.11%"
"27-12-2022","2.956","2.932","2.960","2.932","0.07%"
"24-12-2022","2.954","2.954","2.954","2.954","0.34%"
"23-12-2022","2.944","2.905","2.965","2.905","1.24%"
"22-12-2022","2.908","2.904","2.924","2.895","0.03%"
"21-12-2022","2.907","2.897","2.917","2.887","0.41%"
"20-12-2022","2.895","2.870","2.895","2.861","0.87%"
"19-12-2022","2.870","2.884","2.893","2.863","-0.80%"
"18-12-2022","2.893","2.893","2.893","2.893","0.00%"
"17-12-2022","2.893","2.893","2.893","2.893","-0.28%"
"16-12-2022","2.901","2.965","2.965","2.875","-2.22%"
"15-12-2022","2.967","2.972","2.992","2.961","-1.43%"
"14-12-2022","3.010","3.008","3.010","2.938","0.00%"
"13-12-2022","3.010","3.003","3.022","3.003","0.30%"
"12-12-2022","3.001","2.955","3.015","2.955","0.99%"
"10-12-2022","2.971","2.971","2.971","2.971","0.35%"
"09-12-2022","2.961","2.934","2.984","2.934","-0.40%"
"08-12-2022","2.973","3.035","3.035","2.945","-1.00%"
"07-12-2022","3.003","3.035","3.035","2.985","-0.92%"
"06-12-2022","3.031","3.014","3.051","3.010","0.56%"
"05-12-2022","3.014","2.993","3.021","2.985","0.33%"
"04-12-2022","3.004","3.004","3.004","3.004","0.23%"
"02-12-2022","2.997","3.035","3.040","2.985","-1.61%"
"01-12-2022","3.046","3.075","3.075","3.012","-0.85%"
"30-11-2022","3.072","3.050","3.087","3.043","0.69%"
"29-11-2022","3.051","2.982","3.070","2.982","2.31%"
"28-11-2022","2.982","3.002","3.032","2.972","-1.05%"
"26-11-2022","3.013","3.013","3.013","3.013","0.38%"
