"Date","Price","Open","High","Low","Change %"
"Jan 31, 2023","4.101","4.110","4.110","4.101","-0.02%"
"Jan 30, 2023","4.102","4.102","4.102","4.102","0.00%"
"Jan 27, 2023","4.102","4.102","4.102","4.102","0.02%"
"Jan 26, 2023","4.101","4.101","4.101","4.101","-0.44%"
"Jan 25, 2023","4.119","4.119","4.119","4.119","-1.51%"
"Jan 20, 2023","4.182","4.220","4.220","4.182","0.02%"
"Jan 19, 2023","4.181","4.181","4.181","4.181","0.00%"
"Jan 18, 2023","4.181","4.221","4.221","4.181","0.00%"
"Jan 17, 2023","4.181","4.181","4.181","4.181","-1.60%"
"Jan 16, 2023","4.249","4.249","4.249","4.249","-0.07%"
"Jan 13, 2023","4.252","4.292","4.292","4.252","0.73%"
"Jan 12, 2023","4.221","4.281","4.281","4.221","0.00%"
"Jan 11, 2023","4.221","4.221","4.221","4.221","-1.59%"
"Jan 10, 2023","4.289","4.521","4.521","4.289","-0.07%"
"Jan 09, 2023","4.292","4.520","4.520","4.292","-0.16%"
"Jan 06, 2023","4.299","4.299","4.299","4.299","-0.02%"
"Jan 05, 2023","4.300","4.300","4.522","4.300","0.00%"
"Jan 04, 2023","4.300","4.300","4.300","4.300","-2.03%"
"Jan 03, 2023","4.389","4.389","4.389","4.389","-1.37%"
"Dec 30, 2022","4.450","4.450","4.450","4.450","1.18%"
"Dec 29, 2022","4.398","4.398","4.398","4.398","0.00%"
"Dec 28, 2022","4.398","4.398","4.398","4.398","0.85%"
"Dec 27, 2022","4.361","4.361","4.361","4.361","-95.60%"
"Dec 23, 2022","99.061","0.000","0.000","0.000","2,161.67%"
"Dec 22, 2022","4.380","4.380","4.380","4.380","0.00%"
"Dec 21, 2022","4.380","4.380","4.380","4.380","-0.21%"
"Dec 20, 2022","4.389","4.389","4.389","4.389","3.27%"
"Dec 19, 2022","4.250","4.250","4.250","4.250","-0.49%"
"Dec 16, 2022","4.271","4.271","4.271","4.271","0.05%"
"Dec 15, 2022","4.269","4.269","4.269","4.269","0.00%"
"Dec 14, 2022","4.269","4.269","4.269","4.269","-1.45%"
"Dec 13, 2022","4.332","4.332","4.332","4.332","-2.87%"
"Dec 12, 2022","4.460","4.460","4.460","4.460","-0.91%"
"Dec 09, 2022","4.501","4.501","4.501","4.501","0.51%"
"Dec 08, 2022","4.478","4.522","4.522","4.478","0.20%"
"Dec 07, 2022","4.469","4.469","4.469","4.469","-2.42%"
"Dec 06, 2022","4.580","4.580","4.580","4.580","6.02%"
"Dec 05, 2022","4.320","4.320","4.320","4.320","0.70%"
"Dec 02, 2022","4.290","4.359","4.359","4.290","-0.97%"
"Dec 01, 2022","4.332","4.332","4.332","4.332","0.32%"
"Nov 30, 2022","4.318","4.398","4.398","4.318","-2.51%"
"Nov 29, 2022","4.429","4.429","4.429","4.429","5.93%"
"Nov 28, 2022","4.181","4.181","4.181","4.181","-0.95%"
"Nov 25, 2022","4.221","4.221","4.221","4.221","0.00%"
"Nov 24, 2022","4.221","4.238","4.238","4.221","-0.21%"
"Nov 23, 2022","4.230","4.292","4.292","4.230","-4.73%"
"Nov 22, 2022","4.440","4.440","4.440","4.440","8.88%"
"Nov 21, 2022","4.078","4.102","4.102","4.078","-0.59%"
"Nov 18, 2022","4.102","4.102","4.102","4.102","0.02%"
"Nov 17, 2022","4.101","4.101","4.101","4.101","0.00%"
"Nov 16, 2022","4.101","4.300","4.300","4.101","0.00%"
"Nov 15, 2022","4.101","4.150","4.150","4.101","-1.47%"
"Nov 14, 2022","4.162","4.041","4.162","4.041","3.33%"
"Nov 12, 2022","4.028","4.028","4.028","4.028","-1.80%"
"Nov 11, 2022","4.102","4.102","4.102","4.102","-3.53%"
"Nov 10, 2022","4.252","4.252","4.252","4.252","0.33%"
"Nov 09, 2022","4.238","4.238","4.238","4.238","3.67%"
"Nov 08, 2022","4.088","4.039","4.088","4.039","2.20%"
"Nov 07, 2022","4.000","4.000","4.000","4.000","-0.47%"
"Nov 04, 2022","4.019","4.019","4.019","4.019","-0.07%"
"Nov 03, 2022","4.022","4.022","4.022","4.022","-0.64%"
"Nov 02, 2022","4.048","4.048","4.048","4.048","2.46%"
"Nov 01, 2022","3.951","3.951","3.951","3.951","-0.75%"
"Oct 31, 2022","3.981","4.041","4.041","3.981","-0.50%"
"Oct 28, 2022","4.001","4.042","4.042","4.001","0.05%"
"Oct 27, 2022","3.999","3.999","3.999","3.999","1.45%"
"Oct 26, 2022","3.942","3.942","3.942","3.942","7.15%"
"Oct 25, 2022","3.679","3.651","3.679","3.651","0.74%"
"Oct 21, 2022","3.652","3.652","3.652","3.652","-6.41%"
"Oct 20, 2022","3.902","3.902","3.902","3.902","-1.46%"
"Oct 19, 2022","3.960","3.960","3.960","3.960","-5.29%"
"Oct 18, 2022","4.181","4.181","4.181","4.181","14.49%"
"Oct 17, 2022","3.652","3.652","3.652","3.652","1.78%"
"Oct 14, 2022","3.588","3.648","3.648","3.588","-0.36%"
"Oct 13, 2022","3.601","3.522","3.601","3.522","-0.50%"
"Oct 12, 2022","3.619","3.650","3.650","3.619","-1.92%"
"Oct 11, 2022","3.690","3.690","3.690","3.690","9.24%"
"Oct 10, 2022","3.378","3.378","3.378","3.378","-0.68%"
"Oct 07, 2022","3.401","3.451","3.451","3.401","3.03%"
"Oct 06, 2022","3.301","3.301","3.301","3.301","-2.85%"
"Oct 05, 2022","3.398","3.398","3.398","3.398","0.00%"
"Oct 04, 2022","3.398","3.398","3.398","3.398","6.25%"
"Oct 03, 2022","3.198","3.198","3.198","3.198","-0.74%"
"Sep 30, 2022","3.222","3.222","3.222","3.222","0.69%"
"Sep 29, 2022","3.200","3.200","3.200","3.200","0.00%"
"Sep 28, 2022","3.200","3.200","3.200","3.200","0.00%"
"Sep 27, 2022","3.200","3.200","3.200","3.200","1.85%"
"Sep 26, 2022","3.142","3.142","3.142","3.142","-0.22%"
"Sep 23, 2022","3.149","3.149","3.149","3.149","-0.06%"
"Sep 22, 2022","3.151","3.151","3.151","3.151","0.00%"
"Sep 21, 2022","3.151","3.151","3.151","3.151","0.00%"
"Sep 20, 2022","3.151","3.151","3.151","3.151","2.71%"
"Sep 19, 2022","3.068","3.068","3.068","3.068","-0.42%"
"Sep 16, 2022","3.081","3.081","3.081","3.081","0.00%"
"Sep 15, 2022","3.081","3.081","3.081","3.081","-0.55%"
"Sep 14, 2022","3.098","3.098","3.098","3.098","0.00%"
"Sep 13, 2022","3.098","3.098","3.098","3.098","7.61%"
"Sep 12, 2022","2.879","2.879","2.879","2.879","-0.66%"
"Sep 09, 2022","2.898","2.898","2.898","2.898","-0.07%"
"Sep 08, 2022","2.900","2.900","2.900","2.900","0.00%"
"Sep 07, 2022","2.900","2.900","2.900","2.900","-4.23%"
"Sep 06, 2022","3.028","3.028","3.028","3.028","8.49%"
"Sep 05, 2022","2.791","2.791","2.791","2.791","-0.71%"
"Sep 02, 2022","2.811","2.811","2.811","2.811","-0.99%"
"Sep 01, 2022","2.839","2.839","2.839","2.839","-1.36%"
"Aug 31, 2022","2.878","2.869","2.878","2.869","0.00%"
"Aug 30, 2022","2.878","2.878","2.878","2.878","3.12%"
"Aug 29, 2022","2.791","2.851","2.851","2.791","-1.34%"
"Aug 26, 2022","2.829","2.829","2.829","2.829","-0.35%"
"Aug 25, 2022","2.839","2.852","2.852","2.839","-0.77%"
"Aug 24, 2022","2.861","2.861","2.861","2.861","-0.59%"
"Aug 23, 2022","2.878","2.878","2.878","2.878","3.45%"
"Aug 22, 2022","2.782","2.851","2.851","2.782","-1.03%"
"Aug 19, 2022","2.811","2.811","2.811","2.811","-0.35%"
"Aug 18, 2022","2.821","2.821","2.821","2.821","-0.63%"
"Aug 17, 2022","2.839","2.839","2.839","2.839","-1.36%"
"Aug 16, 2022","2.878","2.852","2.878","2.852","6.28%"
"Aug 15, 2022","2.708","2.680","2.708","2.680","0.22%"
