"Date","Price","Open","High","Low","Change %"
"30-01-2023","3.239","3.302","3.327","3.239","-1.46%"
"29-01-2023","3.287","3.287","3.287","3.287","0.00%"
"28-01-2023","3.287","3.287","3.287","3.287","0.12%"
"27-01-2023","3.283","3.272","3.299","3.266","1.61%"
"26-01-2023","3.231","3.214","3.247","3.214","0.03%"
"25-01-2023","3.230","3.279","3.285","3.223","-1.28%"
"24-01-2023","3.272","3.272","3.272","3.272","0.00%"
"23-01-2023","3.272","3.272","3.272","3.272","0.00%"
"22-01-2023","3.272","3.272","3.272","3.272","0.00%"
"21-01-2023","3.272","3.272","3.272","3.272","-0.24%"
"20-01-2023","3.280","3.274","3.289","3.253","2.09%"
"19-01-2023","3.213","3.260","3.276","3.190","-3.89%"
"18-01-2023","3.343","3.421","3.444","3.317","-2.93%"
"17-01-2023","3.444","3.352","3.444","3.335","1.74%"
"16-01-2023","3.385","3.340","3.385","3.314","2.73%"
"15-01-2023","3.295","3.295","3.295","3.295","0.00%"
"14-01-2023","3.295","3.295","3.295","3.295","-0.18%"
"13-01-2023","3.301","3.347","3.378","3.270","-3.28%"
"12-01-2023","3.413","3.398","3.421","3.342","-0.41%"
"11-01-2023","3.427","3.471","3.471","3.427","-1.01%"
"10-01-2023","3.462","3.468","3.485","3.438","-0.46%"
"09-01-2023","3.478","3.470","3.492","3.453","-2.71%"
"08-01-2023","3.575","3.575","3.575","3.575","0.00%"
"07-01-2023","3.575","3.575","3.575","3.575","0.06%"
"06-01-2023","3.573","3.579","3.592","3.554","0.08%"
"05-01-2023","3.570","3.583","3.606","3.558","-0.78%"
"04-01-2023","3.598","3.659","3.659","3.585","-1.72%"
"03-01-2023","3.661","3.752","3.752","3.655","-3.99%"
"02-01-2023","3.813","3.794","3.831","3.788","2.09%"
"01-01-2023","3.735","3.735","3.735","3.735","0.00%"
"31-12-2022","3.735","3.735","3.735","3.735","0.00%"
"30-12-2022","3.735","3.735","3.735","3.735","0.32%"
"29-12-2022","3.723","3.729","3.761","3.723","1.31%"
"28-12-2022","3.675","3.707","3.739","3.669","1.74%"
"27-12-2022","3.612","3.620","3.640","3.595","-0.77%"
"26-12-2022","3.640","3.574","3.642","3.545","2.51%"
"25-12-2022","3.551","3.551","3.551","3.551","0.00%"
"24-12-2022","3.551","3.551","3.551","3.551","-0.03%"
"23-12-2022","3.552","3.508","3.561","3.503","1.51%"
"22-12-2022","3.499","3.545","3.554","3.494","-1.91%"
"21-12-2022","3.567","3.598","3.607","3.560","-0.47%"
"20-12-2022","3.584","3.458","3.601","3.435","5.72%"
"19-12-2022","3.390","3.358","3.402","3.358","1.19%"
"18-12-2022","3.350","3.350","3.350","3.350","0.00%"
"17-12-2022","3.350","3.350","3.350","3.350","-0.36%"
