"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","72.82","72.76","73.01","72.46","12.04M","0.39%"
"03/02/2023","72.54","72.55","73.16","72.43","10.99M","0.54%"
"02/28/2023","72.15","71.61","72.39","71.59","18.11M","1.11%"
"02/27/2023","71.36","71.52","71.69","71.12","6.19M","-0.60%"
"02/24/2023","71.79","72.94","73.19","71.76","10.77M","-1.50%"
"02/23/2023","72.88","73.14","73.24","72.53","6.46M","-0.36%"
"02/22/2023","73.14","73.67","73.83","72.87","5.93M","-1.68%"
"02/21/2023","74.39","73.29","74.56","73.29","12.38M","1.25%"
"02/20/2023","73.47","72.98","73.47","72.50","6.14M","0.71%"
"02/17/2023","72.95","72.48","73.54","72.41","16.16M","0.08%"
"02/16/2023","72.89","73.05","73.34","72.75","8.13M","0.07%"
"02/15/2023","72.84","74.10","74.36","72.59","15.97M","-1.13%"
"02/14/2023","73.67","73.10","74.45","72.97","7.88M","0.83%"
"02/13/2023","73.06","73.35","73.35","72.50","6.90M","-0.37%"
"02/10/2023","73.33","74.26","74.26","72.88","8.49M","-1.21%"
"02/09/2023","74.23","74.49","74.55","74.02","6.74M","-0.42%"
"02/08/2023","74.54","74.68","74.75","74.39","5.46M","0.35%"
"02/07/2023","74.28","74.16","74.44","74.11","6.23M","-0.04%"
"02/06/2023","74.31","75.14","75.17","74.04","8.90M","-1.17%"
"02/03/2023","75.19","75.76","75.76","75.19","11.99M","-0.58%"
"02/02/2023","75.63","75.40","75.79","75.29","63.80M","0.92%"
"02/01/2023","74.94","75.28","75.49","74.76","7.83M","-0.11%"
"01/31/2023","75.02","75.35","75.44","74.57","15.47M","-0.41%"
"01/30/2023","75.33","75.52","75.72","74.90","6.54M","0.16%"
"01/27/2023","75.21","75.48","75.78","75.18","7.86M","-0.24%"
"01/26/2023","75.39","74.79","75.51","74.79","8.32M","0.92%"
"01/25/2023","74.70","75.13","75.25","74.66","6.60M","-0.11%"
"01/20/2023","74.78","73.87","74.81","73.76","5.96M","1.25%"
"01/19/2023","73.86","74.09","74.61","73.77","6.97M","-0.27%"
"01/18/2023","74.06","74.17","74.41","73.67","8.47M","-0.31%"
"01/17/2023","74.29","75.25","75.69","74.06","21.34M","-1.12%"
"01/16/2023","75.13","75.67","76.05","75.13","62.21M","-0.50%"
"01/13/2023","75.51","75.20","75.51","75.04","13.29M","0.87%"
"01/12/2023","74.86","75.29","75.37","74.47","11.89M","-0.27%"
"01/11/2023","75.06","72.85","75.13","72.85","19.56M","3.59%"
"01/10/2023","72.46","72.42","72.78","71.89","10.62M","0.17%"
"01/09/2023","72.34","71.68","72.53","71.68","15.96M","1.56%"
"01/06/2023","71.23","70.08","71.64","69.98","11.74M","0.61%"
"01/05/2023","70.80","69.96","70.80","69.43","12.61M","1.48%"
"01/04/2023","69.77","68.24","69.88","67.96","8.39M","1.56%"
"01/03/2023","68.70","68.43","68.90","66.58","12.02M","0.23%"
"01/02/2023","68.54","69.95","70.44","68.45","10.90M","-1.85%"
"12/29/2022","69.83","70.92","71.08","69.44","10.75M","-2.03%"
"12/28/2022","71.28","72.02","72.08","71.10","17.29M","-1.25%"
"12/27/2022","72.18","71.27","72.66","71.27","22.61M","1.39%"
"12/26/2022","71.19","71.97","72.24","71.18","25.09M","-1.25%"
"12/23/2022","72.09","73.65","73.65","71.91","85.77M","-2.84%"
"12/22/2022","74.20","74.03","74.49","73.92","16.06M","0.84%"
"12/21/2022","73.58","73.89","74.17","73.14","16.67M","-0.07%"
"12/20/2022","73.63","75.20","75.47","73.30","13.54M","-2.37%"
"12/19/2022","75.42","75.77","75.96","75.22","14.00M","-0.79%"
"12/16/2022","76.02","76.17","76.48","75.51","27.84M","-1.40%"
"12/15/2022","77.10","77.55","77.78","76.85","37.28M","-0.25%"
"12/14/2022","77.29","76.80","77.39","76.68","16.94M","0.91%"
"12/13/2022","76.59","77.11","77.39","76.25","63.12M","-0.33%"
"12/12/2022","76.84","77.71","77.79","76.66","37.57M","-1.47%"
"12/09/2022","77.99","77.14","78.00","76.48","65.93M","1.29%"
"12/08/2022","77.00","78.30","78.48","76.77","13.88M","-1.84%"
"12/07/2022","78.44","78.97","79.05","78.25","21.74M","-1.03%"
"12/06/2022","79.26","80.05","80.67","79.09","30.14M","-1.81%"
"12/05/2022","80.72","81.50","81.66","80.17","33.46M","-1.02%"
"12/02/2022","81.55","83.03","83.46","81.22","67.41M","-1.40%"
"12/01/2022","82.71","80.82","83.04","80.63","82.06M","3.82%"
"11/30/2022","79.67","79.17","79.80","79.05","33.05M","0.80%"
