Date,Price,Open,High,Low,Change %
31-01-23,1.205,6565,434,3242,789%
30-01-23,1.225,1.225,1.225,1.225,0.00%
27-01-23,1.225,1.225,1.225,1.225,0.00%
26-01-23,1.225,1.225,1.225,1.225,0.00%
25-01-23,1.225,1.225,1.225,1.225,0.00%
24-01-23,1.225,1.225,1.225,1.225,0.00%
23-01-23,1.225,1.225,1.225,1.225,0.00%
20-01-23,1.225,1.225,1.225,1.225,0.00%
19-01-23,1.225,1.225,1.225,1.225,0.00%
18-01-23,1.225,1.225,1.225,1.225,0.00%
17-01-23,1.225,1.195,1.225,1.195,2.51%
16-01-23,1.195,1.195,1.195,1.195,0.00%
13-01-23,1.195,1.215,1.215,1.195,-1.65%
12-01-23,1.215,1.205,1.215,1.205,0.83%
11-01-23,1.205,1.195,1.205,1.195,0.84%
10-01-23,1.195,1.194,1.195,1.194,0.08%
09-01-23,1.194,1.285,1.285,1.194,-7.08%
06-01-23,1.285,1.255,1.285,1.255,2.39%
05-01-23,1.255,1.335,1.335,1.23,-5.99%
04-01-23,1.335,1.335,1.335,1.335,0.00%
03-01-23,1.335,1.335,1.335,1.335,0.00%
02-01-23,1.335,1.335,1.335,1.335,0.00%
30-12-22,1.335,1.335,1.335,1.335,0.00%
29-12-22,1.335,1.335,1.335,1.335,0.00%
28-12-22,1.335,1.31,1.335,1.31,1.91%
27-12-22,1.31,1.21,1.31,1.21,8.26%
26-12-22,1.21,1.21,1.21,1.21,0.00%
23-12-22,1.21,1.25,1.275,1.21,-3.20%
22-12-22,1.25,1.235,1.25,1.235,1.21%
21-12-22,1.235,1.275,1.275,1.235,-3.14%
20-12-22,1.275,1.215,1.275,1.215,4.94%
19-12-22,1.215,1.215,1.215,1.215,-1.62%
16-12-22,1.235,1.275,1.275,1.235,-3.14%
15-12-22,1.275,1.275,1.275,1.275,0.00%
14-12-22,1.275,1.29,1.29,1.275,-1.16%
13-12-22,1.29,1.295,1.295,1.29,-0.39%
12-12-22,1.295,1.295,1.295,1.295,0.86%
09-12-22,1.284,1.25,1.284,1.25,2.72%
08-12-22,1.25,1.25,1.25,1.25,-1.19%
07-12-22,1.265,1.365,1.365,1.265,-7.33%
06-12-22,1.365,1.355,1.365,1.355,0.74%
05-12-22,1.355,1.355,1.355,1.355,-2.87%
02-12-22,1.395,1.395,1.395,1.395,-4.12%
01-12-22,1.455,1.495,1.495,1.455,-2.68%
30-11-22,1.495,1.475,1.495,1.475,1.36%
29-11-22,1.475,1.475,1.475,1.475,0.00%
28-11-22,1.475,1.485,1.485,1.475,-0.67%
25-11-22,1.485,1.49,1.49,1.485,-0.34%
24-11-22,1.49,1.49,1.49,1.49,-2.30%
23-11-22,1.525,1.575,1.575,1.525,-3.17%
22-11-22,1.575,1.595,1.595,1.575,-1.25%
21-11-22,1.595,1.595,1.595,1.595,-0.62%
18-11-22,1.605,1.605,1.605,1.605,0.63%
17-11-22,1.595,1.595,1.595,1.595,-4.78%
16-11-22,1.675,1.685,1.685,1.675,-0.59%
15-11-22,1.685,1.695,1.695,1.685,-0.59%
14-11-22,1.695,1.695,1.695,1.695,2.42%
11-11-22,1.655,1.775,1.775,1.655,-6.76%
10-11-22,1.775,1.794,1.794,1.775,-1.06%
09-11-22,1.794,1.814,1.814,1.794,-1.10%
08-11-22,1.814,1.805,1.814,1.805,0.50%
07-11-22,1.805,1.794,1.805,1.794,0.61%
04-11-22,1.794,1.794,1.794,1.794,0.50%
03-11-22,1.785,1.785,1.785,1.785,1.71%
02-11-22,1.755,1.755,1.755,1.755,0.00%
01-11-22,1.755,1.755,1.755,1.755,0.00%
31-10-22,1.755,1.755,1.755,1.755,-1.02%
28-10-22,1.773,1.824,1.824,1.773,-2.80%
27-10-22,1.824,1.86,1.86,1.824,-1.94%
26-10-22,1.86,1.9,1.9,1.86,-2.11%
25-10-22,1.9,1.925,1.925,1.9,-1.30%
24-10-22,1.925,1.925,1.925,1.925,0.52%
21-10-22,1.915,1.915,1.915,1.915,4.93%
20-10-22,1.825,1.825,1.825,1.825,0.00%
19-10-22,1.825,1.825,1.825,1.825,2.82%
18-10-22,1.775,1.775,1.775,1.775,0.00%
17-10-22,1.775,1.755,1.775,1.755,1.14%
14-10-22,1.755,1.755,1.755,1.755,-0.57%
13-10-22,1.765,1.765,1.765,1.765,0.00%
12-10-22,1.765,1.735,1.765,1.735,1.73%
11-10-22,1.735,1.705,1.735,1.705,1.76%
10-10-22,1.705,1.705,1.705,1.705,0.00%
07-10-22,1.705,1.705,1.705,1.705,1.79%
06-10-22,1.675,1.675,1.675,1.675,0.60%
05-10-22,1.665,1.675,1.675,1.665,-0.60%
04-10-22,1.675,1.675,1.675,1.675,-1.18%
03-10-22,1.695,1.695,1.695,1.695,0.00%
30-09-22,1.695,1.695,1.695,1.695,2.42%
29-09-22,1.655,1.655,1.655,1.655,-1.19%
28-09-22,1.675,1.665,1.675,1.665,0.60%
27-09-22,1.665,1.475,1.665,1.475,12.88%
26-09-22,1.475,1.402,1.475,1.402,5.21%
23-09-22,1.402,1.395,1.402,1.395,0.50%
22-09-22,1.395,1.395,1.395,1.395,0.00%
21-09-22,1.395,1.395,1.395,1.395,0.00%
20-09-22,1.395,1.395,1.395,1.395,0.00%
19-09-22,1.395,1.395,1.395,1.395,1.45%
16-09-22,1.375,1.345,1.375,1.345,2.23%
15-09-22,1.345,1.335,1.345,1.335,0.75%
14-09-22,1.335,1.305,1.335,1.305,2.30%
13-09-22,1.305,1.305,1.305,1.305,0.00%
12-09-22,1.305,1.305,1.305,1.305,1.56%
09-09-22,1.285,1.285,1.285,1.285,0.00%
08-09-22,1.285,1.285,1.285,1.285,-2.28%
07-09-22,1.315,1.315,1.315,1.315,0.77%
06-09-22,1.305,1.295,1.305,1.295,0.77%
05-09-22,1.295,1.295,1.295,1.295,-2.26%
02-09-22,1.325,1.255,1.325,1.255,5.58%
01-09-22,1.255,1.235,1.255,1.235,1.62%
31-08-22,1.235,1.215,1.235,1.215,1.65%
30-08-22,1.215,1.235,1.235,1.215,-1.62%
29-08-22,1.235,1.195,1.235,1.195,3.35%
26-08-22,1.195,1.195,1.195,1.195,0.00%
25-08-22,1.195,1.195,1.195,1.195,-0.83%
24-08-22,1.205,1.215,1.215,1.205,-0.82%
23-08-22,1.215,1.205,1.215,1.205,0.83%
22-08-22,1.205,1.205,1.205,1.205,1.69%
19-08-22,1.185,1.185,1.185,1.185,0.00%
18-08-22,1.185,1.185,1.185,1.185,0.00%
