"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","364.80","363.74","364.80","363.51","24.59M","0.32%"
"03/02/2023","363.62","363.77","364.09","362.44","24.01M","-0.01%"
"03/01/2023","363.67","364.96","364.96","362.38","38.01M","-0.40%"
"02/24/2023","365.13","363.64","365.13","362.38","28.71M","0.43%"
"02/23/2023","363.55","361.63","364.48","361.63","35.86M","0.56%"
"02/22/2023","361.54","359.64","361.54","357.39","22.51M","0.41%"
"02/21/2023","360.08","360.00","360.27","358.90","22.76M","0.06%"
"02/20/2023","359.86","358.53","359.86","358.33","27.67M","0.39%"
"02/17/2023","358.45","358.42","358.66","357.57","14.97M","0.02%"
"02/16/2023","358.38","358.36","358.52","357.79","15.36M","0.12%"
"02/15/2023","357.94","358.65","358.83","356.89","18.72M","-0.18%"
"02/14/2023","358.58","357.66","358.74","357.56","19.24M","0.29%"
"02/13/2023","357.56","358.05","358.05","355.81","21.19M","-0.13%"
"02/10/2023","358.01","358.44","358.44","356.29","22.70M","-0.12%"
"02/09/2023","358.44","359.56","359.78","358.36","20.83M","-0.32%"
"02/08/2023","359.59","358.71","359.59","356.97","29.07M","0.36%"
"02/07/2023","358.29","357.48","358.29","357.06","23.08M","0.26%"
"02/06/2023","357.36","356.08","357.36","355.52","24.62M","0.33%"
"02/03/2023","356.19","354.76","356.19","353.05","26.56M","0.40%"
"02/02/2023","354.78","353.88","354.86","352.90","22.26M","0.32%"
"02/01/2023","353.66","353.78","354.70","353.64","27.84M","-0.05%"
"01/31/2023","353.82","352.57","354.43","352.26","24.18M","0.43%"
"01/30/2023","352.30","350.62","353.63","350.62","27.45M","0.53%"
"01/17/2023","350.46","347.99","350.46","347.99","17.01M","0.68%"
"01/16/2023","348.09","347.51","348.62","347.05","14.79M","0.20%"
"01/13/2023","347.39","348.85","349.40","347.16","16.64M","-0.42%"
"01/12/2023","348.84","349.15","349.75","347.96","21.17M","-0.09%"
"01/11/2023","349.14","349.01","350.18","348.04","28.03M","0.07%"
"01/10/2023","348.88","350.07","350.35","348.33","16.96M","-0.27%"
"01/09/2023","349.81","348.54","350.00","348.54","19.16M","0.66%"
"01/06/2023","347.51","347.76","347.76","346.79","15.22M","-0.18%"
"01/05/2023","348.12","347.36","348.49","347.36","17.82M","0.22%"
"01/04/2023","347.35","345.70","347.39","345.70","15.64M","0.47%"
"01/03/2023","345.74","346.69","346.69","343.68","16.43M","-0.33%"
"12/30/2022","346.90","346.72","347.61","346.40","17.23M","0.08%"
"12/29/2022","346.63","346.60","346.63","344.24","20.52M","0.00%"
"12/28/2022","346.63","347.77","348.73","345.73","21.71M","-0.33%"
"12/27/2022","347.79","346.32","348.07","346.10","22.16M","0.50%"
"12/26/2022","346.07","346.51","346.80","345.57","16.08M","0.00%"
"12/23/2022","346.07","347.50","347.65","344.38","23.89M","-0.44%"
"12/22/2022","347.60","344.40","347.60","344.36","37.75M","0.97%"
"12/21/2022","344.25","342.07","344.57","342.07","43.54M","0.47%"
"12/20/2022","342.63","346.04","346.40","341.30","55.08M","-0.99%"
"12/19/2022","346.04","345.22","347.19","344.10","50.07M","0.23%"
"12/16/2022","345.25","347.35","347.57","345.11","56.65M","-0.96%"
"12/15/2022","348.58","350.40","350.46","348.48","23.83M","-0.51%"
"12/14/2022","350.38","349.19","351.12","348.52","31.32M","0.41%"
"12/13/2022","348.94","349.41","350.05","347.46","31.95M","-0.19%"
"12/12/2022","349.61","351.28","351.76","349.22","34.21M","-0.39%"
"12/09/2022","350.97","349.37","351.07","349.24","27.27M","0.53%"
"12/08/2022","349.13","349.41","349.90","347.26","22.56M","-0.17%"
"12/07/2022","349.74","349.53","351.51","348.35","27.61M","-0.01%"
"12/06/2022","349.77","353.61","353.64","349.57","26.24M","-1.08%"
"12/05/2022","353.59","353.01","354.37","352.92","28.97M","0.16%"
"12/02/2022","353.02","355.31","356.16","352.76","21.16M","-0.66%"
"12/01/2022","355.37","354.58","356.27","354.10","29.96M","0.27%"
"11/30/2022","354.41","352.27","354.87","352.27","36.65M","0.59%"
"11/29/2022","352.32","350.18","352.42","349.35","23.06M","0.63%"
"11/28/2022","350.11","349.48","350.11","346.56","26.02M","0.19%"
"11/25/2022","349.44","350.21","351.46","349.37","27.44M","-0.21%"
"11/24/2022","350.19","347.13","350.19","347.13","27.43M","0.96%"
"11/23/2022","346.85","345.25","346.91","345.25","24.29M","0.47%"
"11/22/2022","345.22","344.19","345.51","344.19","26.48M","0.32%"
"11/21/2022","344.13","343.05","344.13","343.05","19.51M","0.40%"
"11/18/2022","342.76","341.63","343.26","340.93","22.39M","0.29%"
"11/17/2022","341.77","339.26","341.92","339.26","26.88M","0.68%"
"11/16/2022","339.45","342.08","342.17","339.45","35.92M","-0.76%"
"11/15/2022","342.06","342.25","342.84","340.45","33.94M","-0.11%"
"11/14/2022","342.44","338.69","342.61","338.69","41.05M","1.09%"
"11/11/2022","338.75","338.70","341.61","338.43","42.00M","0.29%"
"11/10/2022","337.78","337.29","337.78","335.75","26.03M","0.15%"
"11/09/2022","337.29","334.74","337.45","334.74","29.97M","0.83%"
"11/08/2022","334.52","334.19","335.14","334.16","21.36M","0.13%"
"11/07/2022","334.07","334.58","334.84","333.24","22.80M","-0.12%"
"11/04/2022","334.48","332.08","334.48","329.90","22.80M","0.68%"
"11/03/2022","332.22","332.80","332.80","331.10","20.13M","-0.30%"
"11/02/2022","333.22","333.63","333.99","332.69","21.04M","-0.15%"
"11/01/2022","333.72","332.93","334.62","332.08","21.16M","0.27%"
"10/31/2022","332.82","333.51","334.55","332.22","25.94M","-0.15%"
"10/28/2022","333.33","336.17","336.17","333.13","20.08M","-0.83%"
"10/27/2022","336.12","333.20","336.12","333.04","26.68M","0.97%"
"10/26/2022","332.90","332.61","333.98","331.17","20.07M","0.11%"
"10/25/2022","332.53","332.51","334.81","331.48","28.59M","0.14%"
"10/24/2022","332.08","331.22","334.15","331.22","34.18M","0.35%"
"10/21/2022","330.91","332.44","332.54","329.93","26.73M","-0.46%"
"10/20/2022","332.43","335.30","335.30","329.31","68.80M","-0.87%"
"10/19/2022","335.36","333.72","337.26","333.59","29.45M","0.46%"
"10/18/2022","333.83","331.65","335.14","331.65","30.42M","0.42%"
"10/17/2022","332.43","334.57","334.57","329.01","30.70M","-0.69%"
"10/14/2022","334.73","330.96","335.65","330.96","28.29M","1.38%"
"10/13/2022","330.16","337.90","337.90","328.64","50.51M","-2.26%"
"10/12/2022","337.78","336.61","337.78","335.12","29.37M","0.33%"
"10/11/2022","336.68","340.33","340.33","335.68","35.74M","-1.33%"
"10/07/2022","341.23","341.69","341.77","340.50","29.08M","-0.18%"
"10/06/2022","341.84","340.08","341.99","340.08","35.24M","0.54%"
"10/05/2022","340.00","339.48","341.65","339.36","30.60M","0.25%"
"10/04/2022","339.16","337.53","340.15","337.53","39.55M","0.66%"
"10/03/2022","336.95","337.58","337.99","335.74","29.89M","-0.45%"
"09/30/2022","338.46","335.46","338.46","332.16","36.66M","0.66%"
"09/29/2022","336.24","332.74","336.72","332.74","45.65M","1.23%"
"09/28/2022","332.14","340.13","340.72","331.40","60.70M","-2.35%"
"09/27/2022","340.15","339.52","340.90","337.86","40.19M","0.19%"
"09/26/2022","339.50","345.04","345.29","339.35","65.94M","-2.91%"
"09/23/2022","349.69","350.10","350.67","348.76","41.83M","-0.11%"
"09/22/2022","350.06","352.07","352.07","348.21","46.59M","-0.76%"
"09/21/2022","352.73","354.33","354.33","352.08","47.23M","-0.55%"
"09/20/2022","354.67","354.86","355.85","352.99","37.19M","0.01%"
"09/19/2022","354.62","358.79","359.85","353.97","39.84M","-1.15%"
"09/16/2022","358.74","360.24","360.24","358.01","40.52M","-0.47%"
"09/15/2022","360.43","358.36","361.14","358.27","33.66M","0.57%"
"09/14/2022","358.39","359.88","359.88","356.60","30.42M","-0.62%"
"09/13/2022","360.63","360.00","361.31","360.00","29.95M","0.19%"
"09/12/2022","359.95","359.92","361.55","359.51","36.89M","-0.19%"
"09/08/2022","360.62","357.12","360.63","357.12","46.68M","1.06%"
"09/07/2022","356.83","358.55","358.55","355.76","32.00M","-0.61%"
"09/06/2022","359.02","359.53","360.62","358.02","37.50M","-0.09%"
"09/05/2022","359.34","358.86","360.59","358.75","41.77M","0.14%"
"09/02/2022","358.85","358.80","360.51","358.64","35.69M","0.11%"
"09/01/2022","358.45","361.17","361.17","356.36","30.48M","-0.83%"
"08/31/2022","361.44","358.95","361.74","358.85","28.92M","0.70%"
"08/30/2022","358.93","355.36","359.41","354.91","25.81M","0.83%"
"08/29/2022","355.97","360.20","360.20","354.68","36.73M","-1.40%"
"08/26/2022","361.02","358.33","361.63","358.33","41.13M","0.60%"
"08/25/2022","358.86","356.73","359.84","356.69","39.40M","0.61%"
"08/24/2022","356.70","355.56","356.83","355.56","38.60M","0.35%"
"08/23/2022","355.45","356.12","356.22","354.77","41.88M","-0.33%"
"08/22/2022","356.64","354.83","357.00","352.93","48.69M","0.31%"
"08/19/2022","355.53","354.57","355.73","353.85","34.60M","0.28%"
"08/18/2022","354.53","355.48","355.66","353.84","38.86M","-0.27%"
"08/17/2022","355.49","355.55","356.66","354.30","38.95M","0.11%"
"08/16/2022","355.11","354.89","355.45","354.46","43.91M","0.20%"
"08/15/2022","354.40","354.04","354.84","353.84","37.25M","0.19%"
