"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","253.27","252.02","253.68","251.50","","0.86%"
"03/02/2023","251.12","252.27","252.27","250.89","","-0.06%"
"03/01/2023","251.26","249.86","251.27","249.86","","0.37%"
"02/28/2023","250.34","251.84","251.92","250.01","","-0.50%"
"02/27/2023","251.59","249.28","251.63","249.28","","1.11%"
"02/24/2023","248.83","247.71","249.14","247.55","","0.82%"
"02/22/2023","246.81","247.90","248.09","246.43","","-1.02%"
"02/21/2023","249.35","247.59","249.57","247.52","","0.67%"
"02/20/2023","247.69","247.12","247.69","246.57","","0.72%"
"02/17/2023","245.92","244.25","245.92","244.25","","0.16%"
"02/16/2023","245.52","245.44","246.14","244.50","","0.12%"
"02/15/2023","245.22","246.16","246.42","244.93","","-0.08%"
"02/14/2023","245.41","244.21","245.41","243.67","","1.26%"
"02/13/2023","242.36","242.34","242.97","240.82","","-0.02%"
"02/10/2023","242.42","241.02","243.42","240.76","","0.30%"
"02/09/2023","241.70","240.20","242.00","239.83","","0.49%"
"02/08/2023","240.53","241.36","241.77","240.24","","-0.08%"
"02/07/2023","240.72","241.52","241.89","240.62","","-0.25%"
"02/06/2023","241.33","241.00","241.69","240.11","","0.97%"
