"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","1,955.82","1,957.34","1,965.37","1,949.64","","-0.30%"
"03/01/2023","1,961.70","1,953.06","1,962.37","1,945.21","","0.41%"
"02/28/2023","1,953.76","1,951.55","1,970.10","1,950.09","","0.62%"
"02/27/2023","1,941.79","1,923.03","1,942.74","1,919.04","","0.74%"
"02/24/2023","1,927.44","1,907.09","1,927.44","1,899.47","","1.85%"
"02/22/2023","1,892.34","1,909.45","1,913.54","1,892.34","","-1.38%"
"02/21/2023","1,918.85","1,920.72","1,926.15","1,910.45","","0.08%"
"02/20/2023","1,917.28","1,908.39","1,919.27","1,904.08","","0.42%"
"02/17/2023","1,909.26","1,906.43","1,913.78","1,901.66","","-0.72%"
"02/16/2023","1,923.09","1,905.18","1,932.98","1,900.83","","1.68%"
"02/15/2023","1,891.28","1,911.80","1,931.94","1,885.32","","-0.32%"
"02/14/2023","1,897.39","1,896.69","1,903.85","1,887.44","","0.81%"
"02/13/2023","1,882.16","1,893.11","1,900.20","1,873.05","","-0.11%"
"02/10/2023","1,884.28","1,898.14","1,907.37","1,880.86","","-2.10%"
"02/09/2023","1,924.77","1,909.30","1,927.68","1,909.30","","0.04%"
"02/08/2023","1,923.96","1,927.30","1,928.19","1,906.99","","0.54%"
"02/07/2023","1,913.63","1,940.03","1,940.69","1,913.63","","-0.85%"
"02/06/2023","1,930.03","1,936.14","1,939.35","1,923.58","","1.00%"
"02/03/2023","1,910.85","1,903.74","1,912.19","1,903.08","","0.11%"
"02/02/2023","1,908.73","1,934.60","1,934.60","1,904.25","","-0.82%"
"02/01/2023","1,924.43","1,957.64","1,963.44","1,922.07","","-0.99%"
"01/31/2023","1,943.74","1,961.25","1,964.48","1,939.86","","-0.43%"
"01/30/2023","1,952.17","1,951.49","1,958.13","1,948.86","","-0.56%"
"01/27/2023","1,963.18","1,969.99","1,969.99","1,956.01","","-0.73%"
"01/26/2023","1,977.65","1,960.68","1,978.71","1,959.15","","1.20%"
"01/25/2023","1,954.25","1,946.35","1,962.10","1,942.98","","-0.27%"
"01/24/2023","1,959.62","1,946.95","1,963.35","1,933.98","","1.39%"
"01/23/2023","1,932.66","1,940.11","1,940.94","1,923.96","","0.58%"
