"Date","Price","Open","High","Low","Change %"
"03/15/2024","0.772","0.791","0.791","0.770","-1.15%"
"03/14/2024","0.781","0.770","0.787","0.770","2.63%"
"03/13/2024","0.761","0.771","0.772","0.758","-1.17%"
"03/12/2024","0.770","0.774","0.779","0.765","0.79%"
"03/11/2024","0.764","0.758","0.770","0.756","0.73%"
"03/10/2024","0.758","0.754","0.758","0.754","3.20%"
"03/08/2024","0.735","0.742","0.746","0.730","0.41%"
"03/07/2024","0.732","0.722","0.741","0.721","2.38%"
"03/06/2024","0.715","0.705","0.721","0.701","1.85%"
"03/05/2024","0.702","0.722","0.731","0.701","-1.54%"
"03/04/2024","0.713","0.707","0.719","0.704","1.78%"
"03/03/2024","0.701","0.702","0.702","0.701","-2.16%"
"03/01/2024","0.716","0.714","0.726","0.710","0.14%"
"02/29/2024","0.715","0.694","0.732","0.686","2.14%"
"02/28/2024","0.700","0.695","0.705","0.691","1.30%"
"02/27/2024","0.691","0.697","0.706","0.689","0.58%"
"02/26/2024","0.687","0.715","0.715","0.686","-1.65%"
"02/25/2024","0.698","0.711","0.711","0.698","-2.44%"
"02/22/2024","0.716","0.732","0.737","0.703","-1.38%"
"02/21/2024","0.726","0.733","0.735","0.725","-0.68%"
"02/20/2024","0.731","0.735","0.746","0.725","0.00%"
"02/19/2024","0.731","0.732","0.736","0.721","0.90%"
"02/18/2024","0.725","0.724","0.725","0.724","-0.89%"
"02/16/2024","0.731","0.723","0.741","0.718","0.27%"
"02/15/2024","0.729","0.750","0.752","0.715","-3.57%"
"02/14/2024","0.756","0.756","0.775","0.749","4.28%"
"02/13/2024","0.725","0.726","0.732","0.720","1.12%"
"02/12/2024","0.717","0.716","0.717","0.716","-0.55%"
"02/09/2024","0.721","0.711","0.730","0.707","3.44%"
"02/08/2024","0.697","0.730","0.736","0.696","-1.27%"
"02/07/2024","0.706","0.715","0.717","0.706","-1.81%"
"02/06/2024","0.719","0.739","0.745","0.717","-0.28%"
"02/05/2024","0.721","0.709","0.725","0.707","2.34%"
"02/04/2024","0.705","0.697","0.705","0.697","6.26%"
"02/02/2024","0.663","0.682","0.687","0.660","-4.88%"
"02/01/2024","0.697","0.740","0.746","0.692","-5.30%"
"01/31/2024","0.736","0.716","0.756","0.715","3.37%"
"01/30/2024","0.712","0.711","0.721","0.708","-1.93%"
"01/29/2024","0.726","0.711","0.730","0.711","3.05%"
"01/28/2024","0.705","0.706","0.706","0.705","-1.61%"
"01/26/2024","0.716","0.719","0.727","0.710","-4.41%"
"01/25/2024","0.749","0.736","0.756","0.729","3.74%"
"01/24/2024","0.722","0.704","0.746","0.698","12.81%"
"01/23/2024","0.640","0.642","0.656","0.630","-1.84%"
"01/22/2024","0.652","0.666","0.672","0.652","-0.46%"
"01/21/2024","0.655","0.662","0.662","0.655","-2.38%"
"01/19/2024","0.671","0.653","0.672","0.637","2.29%"
"01/18/2024","0.656","0.622","0.657","0.620","7.36%"
"01/17/2024","0.611","0.608","0.621","0.606","3.21%"
"01/16/2024","0.592","0.571","0.592","0.570","6.09%"
"01/15/2024","0.558","0.571","0.574","0.551","-1.76%"
"01/14/2024","0.568","0.586","0.586","0.568","-4.05%"
"01/12/2024","0.592","0.578","0.592","0.576","-1.82%"
"01/11/2024","0.603","0.620","0.622","0.597","2.73%"
"01/10/2024","0.587","0.581","0.591","0.558","0.69%"
"01/09/2024","0.583","0.606","0.611","0.581","-4.27%"
"01/08/2024","0.609","0.609","0.609","0.609","1.33%"
"01/05/2024","0.601","0.630","0.634","0.600","-2.59%"
"01/04/2024","0.617","0.632","0.633","0.615","-1.75%"
"01/03/2024","0.628","0.624","0.628","0.624","1.95%"
"12/29/2023","0.616","0.605","0.625","0.605","4.41%"
"12/28/2023","0.590","0.602","0.602","0.586","-1.83%"
"12/27/2023","0.601","0.637","0.637","0.600","-5.06%"
"12/26/2023","0.633","0.617","0.638","0.616","2.93%"
"12/25/2023","0.615","0.628","0.628","0.594","-0.97%"
"12/24/2023","0.621","0.631","0.631","0.621","-0.64%"
"12/22/2023","0.625","0.609","0.630","0.609","7.57%"
"12/21/2023","0.581","0.557","0.585","0.557","4.87%"
"12/20/2023","0.554","0.598","0.599","0.553","-13.44%"
"12/19/2023","0.640","0.679","0.689","0.630","-4.48%"
"12/18/2023","0.670","0.695","0.710","0.670","-5.03%"
"12/17/2023","0.706","0.702","0.706","0.702","-0.77%"
"12/15/2023","0.711","0.677","0.711","0.677","5.18%"
"12/14/2023","0.676","0.651","0.696","0.624","-2.03%"
"12/13/2023","0.690","0.713","0.733","0.688","-6.12%"
"12/12/2023","0.735","0.766","0.777","0.731","-5.28%"
"12/11/2023","0.776","0.803","0.806","0.776","-2.70%"
"12/10/2023","0.798","0.777","0.798","0.777","3.30%"
"12/08/2023","0.772","0.754","0.805","0.748","3.21%"
"12/07/2023","0.748","0.626","0.756","0.626","15.08%"
"12/06/2023","0.650","0.639","0.651","0.621","-3.70%"
"12/05/2023","0.675","0.697","0.706","0.671","-2.17%"
"12/04/2023","0.690","0.659","0.701","0.657","3.53%"
"12/03/2023","0.666","0.674","0.674","0.666","-5.33%"
"12/01/2023","0.704","0.691","0.718","0.685","4.14%"
"11/30/2023","0.676","0.670","0.696","0.632","-0.44%"
"11/29/2023","0.679","0.728","0.731","0.676","-10.19%"
"11/28/2023","0.756","0.764","0.768","0.745","-2.45%"
"11/27/2023","0.775","0.778","0.785","0.773","0.19%"
"11/26/2023","0.774","0.774","0.774","0.774","0.32%"
"11/24/2023","0.771","0.735","0.776","0.735","4.26%"
"11/23/2023","0.739","0.729","0.739","0.729","1.16%"
"11/22/2023","0.731","0.702","0.735","0.699","4.88%"
"11/21/2023","0.697","0.739","0.740","0.692","-6.32%"
"11/20/2023","0.744","0.759","0.765","0.742","-2.23%"
"11/19/2023","0.761","0.752","0.761","0.752","1.20%"
"11/17/2023","0.752","0.759","0.765","0.716","-4.93%"
"11/16/2023","0.791","0.804","0.806","0.786","-1.13%"
"11/15/2023","0.800","0.804","0.805","0.771","-6.54%"
"11/14/2023","0.856","0.869","0.877","0.854","-2.28%"
"11/13/2023","0.876","0.866","0.899","0.866","1.45%"
