Date,Price,Open,High,Low,Vol.,Change %
03/19/2024,2306.39,"2,256.28","2,310.59","2,241.46",,2.23%
03/18/2024,2255.98,"2,226.20","2,257.83","2,226.20",,1.75%
03/15/2024,2217.13,"2,191.34","2,217.13","2,188.80",,1.79%
03/14/2024,2178.08,"2,158.32","2,178.08","2,158.32",,0.85%
03/13/2024,2159.69,"2,176.31","2,179.84","2,146.63",,0.43%
03-12-24,2150.40,"2,116.97","2,150.45","2,102.16",,0.57%
03-11-24,2138.27,"2,139.39","2,157.42","2,115.40",,-0.82%
03-08-24,2155.98,"2,156.46","2,159.79","2,132.40",,-0.87%
03-07-24,2174.91,"2,210.10","2,219.39","2,173.26",,-1.55%
03-06-24,2209.22,"2,181.63","2,223.41","2,181.63",,1.73%
03-05-24,2171.66,"2,174.63","2,181.30","2,156.12",,-0.86%
03-04-24,2190.59,"2,203.68","2,224.19","2,188.87",,-0.11%
03-01-24,2193.01,"2,185.85","2,214.84","2,185.85",,-0.37%
02/29/2024,2201.10,"2,214.70","2,214.70","2,175.85",,-0.37%
02/28/2024,2209.34,"2,201.40","2,214.90","2,190.56",,0.33%
02/27/2024,2202.12,"2,199.34","2,210.37","2,186.61",,-0.11%
02/26/2024,2204.51,"2,237.28","2,237.28","2,202.68",,-0.96%
02/22/2024,2225.85,"2,209.38","2,226.30","2,202.47",,0.69%
02/21/2024,2210.66,"2,207.10","2,210.66","2,189.43",,0.27%
02/20/2024,2204.78,"2,214.43","2,216.83","2,195.60",,0.14%
02/19/2024,2201.78,"2,201.68","2,207.45","2,188.90",,-0.36%
02/16/2024,2209.76,"2,183.85","2,210.44","2,183.84",,1.97%
02/15/2024,2167.06,"2,144.60","2,173.63","2,140.57",,2.27%
02/14/2024,2119.05,"2,186.58","2,186.58","2,115.56",,-3.73%
02/13/2024,2201.22,"2,217.49","2,217.49","2,184.65",,0.18%
02-09-24,2197.36,"2,189.06","2,211.62","2,188.57",,-0.04%
02-08-24,2198.28,"2,189.28","2,207.80","2,172.70",,0.39%
02-07-24,2189.78,"2,190.37","2,198.17","2,173.48",,0.44%
02-06-24,2180.17,"2,214.19","2,214.19","2,180.17",,-2.58%
02-05-24,2237.87,"2,195.16","2,249.28","2,184.82",,2.30%
02-02-24,2187.57,"2,194.75","2,201.04","2,186.26",,0.39%
02-01-24,2179.02,"2,171.81","2,182.65","2,167.92",,-0.22%
01/31/2024,2183.79,"2,147.68","2,186.56","2,137.69",,2.21%
01/30/2024,2136.66,"2,152.78","2,155.81","2,132.72",,-0.07%
01/29/2024,2138.18,"2,127.90","2,138.18","2,127.40",,1.01%
01/26/2024,2116.83,"2,124.18","2,129.42","2,112.91",,-0.59%
01/25/2024,2129.43,"2,132.91","2,134.59","2,110.25",,0.10%
01/24/2024,2127.28,"2,149.38","2,158.54","2,127.17",,-1.89%
01/23/2024,2168.37,"2,180.44","2,188.52","2,162.10",,-0.24%
01/22/2024,2173.52,"2,151.15","2,175.59","2,151.15",,2.21%
01/19/2024,2126.51,"2,135.16","2,139.36","2,120.75",,0.44%
01/18/2024,2117.10,"2,129.93","2,135.73","2,113.45",,-0.30%
01/17/2024,2123.38,"2,148.58","2,158.15","2,123.38",,-0.73%
01/16/2024,2138.90,"2,174.86","2,175.55","2,138.90",,-1.47%
01/15/2024,2170.80,"2,150.64","2,174.50","2,148.86",,0.86%
01-12-24,2152.35,"2,163.63","2,163.63","2,134.12",,-0.39%
01-11-24,2160.80,"2,150.01","2,167.40","2,147.14",,1.32%
01-10-24,2132.69,"2,112.40","2,136.91","2,103.13",,1.12%
01-09-24,2109.01,"2,095.87","2,116.34","2,092.61",,0.88%
01-05-24,2090.53,"2,078.72","2,099.29","2,078.72",,1.20%
01-04-24,2065.69,"2,037.45","2,070.63","2,032.08",,0.53%
12/29/2023,2054.74,"2,048.89","2,057.39","2,043.26",,0.36%
12/28/2023,2047.39,"2,048.75","2,050.99","2,037.27",,-0.32%
12/27/2023,2054.04,"2,045.57","2,058.16","2,040.70",,0.92%
12/26/2023,2035.39,"2,032.95","2,039.87","2,029.04",,0.07%
12/25/2023,2033.95,"2,049.92","2,051.97","2,030.45",,0.22%
12/22/2023,2029.54,"2,029.48","2,035.08","2,021.05",,0.13%
12/21/2023,2026.99,"2,034.23","2,036.31","2,025.46",,-1.16%
12/20/2023,2050.70,"2,062.39","2,071.41","2,050.70",,-0.08%
12/19/2023,2052.37,"2,029.18","2,052.37","2,008.71",,0.77%
12/18/2023,2036.64,"2,028.47","2,036.99","2,015.37",,-0.81%
12/15/2023,2053.35,"2,025.95","2,054.56","2,024.02",,1.69%
12/14/2023,2019.13,"2,055.92","2,055.92","2,012.82",,-1.68%
12/13/2023,2053.58,"2,062.69","2,065.29","2,046.01",,0.02%
12-12-23,2053.21,"2,083.35","2,083.35","2,051.26",,-0.20%
12-11-23,2057.35,"2,038.94","2,064.42","2,038.94",,1.01%
12-08-23,2036.77,"2,063.27","2,066.03","2,031.80",,-2.00%
12-07-23,2078.40,"2,088.68","2,091.74","2,071.75",,-1.29%
12-06-23,2105.64,"2,080.14","2,107.89","2,074.79",,1.60%
12-05-23,2072.48,"2,084.45","2,095.78","2,070.61",,-0.41%
12-04-23,2080.94,"2,083.47","2,101.54","2,072.70",,0.28%
12-01-23,2075.23,"2,078.49","2,088.44","2,073.57",,0.90%
11/30/2023,2056.69,"2,070.06","2,071.71","2,043.78",,-0.31%
11/29/2023,2063.17,"2,067.01","2,079.88","2,059.96",,-0.19%
11/28/2023,2067.20,"2,082.70","2,083.29","2,059.50",,-0.11%
11/27/2023,2069.50,"2,101.63","2,101.63","2,069.50",,-1.09%
11/24/2023,2092.33,"2,092.93","2,097.77","2,076.61",,0.85%
11/22/2023,2074.66,"2,048.04","2,076.30","2,048.04",,1.12%
11/21/2023,2051.70,"2,057.87","2,069.40","2,042.50",,-0.67%
