Dates,PX_LAST
01-02-98,74.803
02-02-98,74.789
03-02-98,74.765
04-02-98,74.819
05-02-98,74.796
06-02-98,74.798
09-02-98,74.906
10-02-98,74.953
11-02-98,74.959
12-02-98,74.945
13-02-98,75.031
16-02-98,75.124
17-02-98,75.143
18-02-98,75.175
19-02-98,75.289
20-02-98,75.347
23-02-98,75.486
24-02-98,75.523
25-02-98,75.318
26-02-98,75.39
27-02-98,75.404
02-03-98,75.416
03-03-98,75.446
04-03-98,75.459
05-03-98,75.597
06-03-98,75.504
09-03-98,75.633
10-03-98,75.717
11-03-98,75.872
12-03-98,75.857
13-03-98,75.824
16-03-98,75.925
17-03-98,75.915
18-03-98,75.939
19-03-98,75.916
20-03-98,75.843
23-03-98,75.957
24-03-98,75.932
25-03-98,75.96
26-03-98,75.811
27-03-98,75.619
30-03-98,75.612
31-03-98,75.682
01-04-98,75.725
02-04-98,75.669
03-04-98,75.422
06-04-98,75.442
07-04-98,75.515
08-04-98,75.504
09-04-98,75.477
10-04-98,75.685
13-04-98,75.788
14-04-98,75.88
15-04-98,75.984
16-04-98,75.979
17-04-98,76.022
20-04-98,76.12
21-04-98,76.11
22-04-98,76.105
23-04-98,76.125
24-04-98,76.112
27-04-98,76.208
28-04-98,76.31
29-04-98,76.316
30-04-98,76.35
01-05-98,76.433
04-05-98,76.452
05-05-98,76.459
06-05-98,76.632
07-05-98,76.799
08-05-98,76.944
11-05-98,76.927
12-05-98,77.017
13-05-98,77.003
14-05-98,76.958
15-05-98,77.038
18-05-98,77.144
19-05-98,77.147
20-05-98,77.147
21-05-98,77.1
22-05-98,77.199
25-05-98,77.35
26-05-98,77.336
27-05-98,77.276
28-05-98,77.329
29-05-98,77.399
01-06-98,77.564
02-06-98,77.697
03-06-98,77.647
04-06-98,77.669
05-06-98,77.616
08-06-98,77.67
09-06-98,77.555
10-06-98,77.519
11-06-98,77.373
12-06-98,77.4
15-06-98,77.526
16-06-98,77.481
17-06-98,77.38
18-06-98,77.184
19-06-98,77.151
22-06-98,77.174
23-06-98,77.187
24-06-98,77.331
25-06-98,77.338
26-06-98,77.235
29-06-98,77.118
30-06-98,76.985
01-07-98,76.725
02-07-98,76.953
03-07-98,76.899
06-07-98,76.995
07-07-98,77.005
08-07-98,76.858
09-07-98,76.82
10-07-98,76.814
13-07-98,76.71
14-07-98,76.55
15-07-98,76.647
16-07-98,76.541
17-07-98,76.558
20-07-98,76.577
21-07-98,76.545
22-07-98,76.641
23-07-98,76.776
24-07-98,76.758
27-07-98,76.95
28-07-98,76.983
29-07-98,77.119
30-07-98,77.305
31-07-98,77.301
03-08-98,77.308
04-08-98,77.355
05-08-98,77.375
06-08-98,77.4
07-08-98,77.477
10-08-98,77.565
11-08-98,77.531
12-08-98,77.542
13-08-98,77.476
14-08-98,77.538
17-08-98,77.634
18-08-98,77.649
19-08-98,77.545
20-08-98,77.526
21-08-98,77.579
24-08-98,77.708
25-08-98,77.724
26-08-98,77.607
27-08-98,77.578
28-08-98,77.65
31-08-98,77.753
01-09-98,77.755
02-09-98,77.738
03-09-98,77.682
04-09-98,77.71
07-09-98,77.765
08-09-98,77.776
09-09-98,77.835
10-09-98,78.535
11-09-98,78.757
14-09-98,78.841
15-09-98,78.847
16-09-98,78.879
17-09-98,79.118
18-09-98,79.198
21-09-98,78.964
22-09-98,78.795
23-09-98,78.802
24-09-98,78.851
25-09-98,79.031
28-09-98,79.048
29-09-98,78.934
30-09-98,79.055
01-10-98,79.286
02-10-98,79.42
05-10-98,79.379
06-10-98,79.297
