Date,Value
04-01-07,0.54455
05-01-07,0.54818
09-01-07,0.55545
10-01-07,0.55909
11-01-07,0.56091
12-01-07,0.56273
15-01-07,0.56545
16-01-07,0.57273
17-01-07,0.56818
18-01-07,0.56273
19-01-07,0.55455
22-01-07,0.55
23-01-07,0.54545
24-01-07,0.54364
25-01-07,0.54182
26-01-07,0.54091
29-01-07,0.54091
30-01-07,0.54182
31-01-07,0.54182
01-02-07,0.54091
02-02-07,0.54091
05-02-07,0.54091
06-02-07,0.54091
07-02-07,0.54182
08-02-07,0.54273
09-02-07,0.54273
13-02-07,0.54273
14-02-07,0.54273
15-02-07,0.54545
16-02-07,0.55
19-02-07,0.55182
20-02-07,0.55273
21-02-07,0.55273
22-02-07,0.65
23-02-07,0.65727
26-02-07,0.65909
27-02-07,0.66091
28-02-07,0.66273
01-03-07,0.66909
02-03-07,0.67182
05-03-07,0.67182
06-03-07,0.67182
07-03-07,0.67182
08-03-07,0.67091
09-03-07,0.67182
12-03-07,0.67273
13-03-07,0.67273
14-03-07,0.67273
15-03-07,0.67273
16-03-07,0.67273
19-03-07,0.67364
20-03-07,0.67455
22-03-07,0.67545
23-03-07,0.67636
26-03-07,0.67636
27-03-07,0.67636
28-03-07,0.67545
29-03-07,0.66545
30-03-07,0.66364
02-04-07,0.66083
03-04-07,0.66
04-04-07,0.65833
05-04-07,0.6575
06-04-07,0.65583
09-04-07,0.65667
10-04-07,0.655
11-04-07,0.655
12-04-07,0.655
13-04-07,0.65417
16-04-07,0.65333
17-04-07,0.6525
18-04-07,0.6525
19-04-07,0.6525
20-04-07,0.6525
23-04-07,0.6525
24-04-07,0.6525
25-04-07,0.6525
26-04-07,0.65333
27-04-07,0.65417
01-05-07,0.65417
02-05-07,0.65417
07-05-07,0.65417
08-05-07,0.65417
09-05-07,0.65417
10-05-07,0.65417
11-05-07,0.65333
14-05-07,0.65333
15-05-07,0.65333
16-05-07,0.65333
17-05-07,0.65333
18-05-07,0.655
21-05-07,0.65583
22-05-07,0.6575
23-05-07,0.65917
24-05-07,0.66
25-05-07,0.66
28-05-07,0.66
29-05-07,0.6625
30-05-07,0.6675
31-05-07,0.67
01-06-07,0.6725
04-06-07,0.67417
05-06-07,0.675
06-06-07,0.6775
07-06-07,0.67917
08-06-07,0.68417
11-06-07,0.68667
12-06-07,0.68917
13-06-07,0.69583
14-06-07,0.69917
15-06-07,0.70167
18-06-07,0.7025
19-06-07,0.7025
20-06-07,0.70417
21-06-07,0.70667
22-06-07,0.70917
25-06-07,0.7125
26-06-07,0.715
27-06-07,0.7175
28-06-07,0.73
29-06-07,0.73333
02-07-07,0.73333
03-07-07,0.735
04-07-07,0.73667
05-07-07,0.73833
06-07-07,0.74167
09-07-07,0.74417
10-07-07,0.74583
11-07-07,0.74833
12-07-07,0.75
13-07-07,0.75083
17-07-07,0.75333
18-07-07,0.75417
19-07-07,0.75583
20-07-07,0.75833
23-07-07,0.76
24-07-07,0.76083
25-07-07,0.76167
26-07-07,0.76417
27-07-07,0.765
30-07-07,0.7675
31-07-07,0.7675
01-08-07,0.7675
02-08-07,0.7675
03-08-07,0.7675
06-08-07,0.76917
07-08-07,0.77
08-08-07,0.77417
09-08-07,0.78083
10-08-07,0.79167
13-08-07,0.80333
14-08-07,0.81
15-08-07,0.8125
16-08-07,0.815
17-08-07,0.81667
20-08-07,0.8175
21-08-07,0.82
22-08-07,0.82583
23-08-07,0.83167
