Dates,PX_LAST
02-01-1986,11.38
03-01-1986,11.35
06-01-1986,11.36
07-01-1986,11.29
08-01-1986,11.34
09-01-1986,11.43
10-01-1986,11.45
13-01-1986,11.52
14-01-1986,11.46
15-01-1986,11.51
16-01-1986,11.47
17-01-1986,11.44
20-01-1986,11.46
21-01-1986,11.46
22-01-1986,11.51
23-01-1986,11.52
24-01-1986,11.49
27-01-1986,11.48
28-01-1986,11.46
29-01-1986,11.43
30-01-1986,11.42
31-01-1986,11.37
03-02-1986,11.32
04-02-1986,11.25
05-02-1986,11.25
06-02-1986,11.28
07-02-1986,11.33
10-02-1986,11.3
11-02-1986,11.28
12-02-1986,11.27
13-02-1986,11.23
14-02-1986,11.15
18-02-1986,11.13
19-02-1986,11.13
20-02-1986,11.11
21-02-1986,11.02
24-02-1986,10.95
25-02-1986,10.94
26-02-1986,10.87
27-02-1986,10.71
28-02-1986,10.62
03-03-1986,10.56
04-03-1986,10.53
05-03-1986,10.6
06-03-1986,10.62
07-03-1986,10.64
10-03-1986,10.55
11-03-1986,10.52
12-03-1986,10.47
13-03-1986,10.5
14-03-1986,10.44
17-03-1986,10.45
18-03-1986,10.51
19-03-1986,10.53
20-03-1986,10.51
21-03-1986,10.49
24-03-1986,10.43
25-03-1986,10.44
26-03-1986,10.43
27-03-1986,10.37
31-03-1986,10.31
01-04-1986,10.28
02-04-1986,10.25
03-04-1986,10.26
04-04-1986,10.29
07-04-1986,10.3
08-04-1986,10.24
09-04-1986,10.21
10-04-1986,10.2
11-04-1986,10.25
14-04-1986,10.17
15-04-1986,10.2
16-04-1986,10.14
17-04-1986,10.18
18-04-1986,9.97
21-04-1986,10.01
22-04-1986,10.06
23-04-1986,10.12
24-04-1986,10.21
25-04-1986,10.26
28-04-1986,10.23
29-04-1986,10.2
30-04-1986,10.16
01-05-1986,10.18
02-05-1986,10.24
05-05-1986,10.16
06-05-1986,10.16
07-05-1986,10.16
08-05-1986,10.15
09-05-1986,10.19
12-05-1986,10.25
13-05-1986,10.23
14-05-1986,10.26
15-05-1986,10.35
16-05-1986,10.38
19-05-1986,10.39
20-05-1986,10.34
21-05-1986,10.37
22-05-1986,10.36
23-05-1986,10.37
27-05-1986,10.32
28-05-1986,10.34
29-05-1986,10.39
30-05-1986,10.41
02-06-1986,10.51
03-06-1986,10.5
04-06-1986,10.45
05-06-1986,10.46
06-06-1986,10.41
09-06-1986,10.48
10-06-1986,10.47
11-06-1986,10.44
12-06-1986,10.43
13-06-1986,10.35
16-06-1986,10.29
17-06-1986,10.29
18-06-1986,10.28
19-06-1986,10.33
20-06-1986,10.28
23-06-1986,10.23
24-06-1986,10.2
25-06-1986,10.21
26-06-1986,10.18
27-06-1986,10.18
30-06-1986,10.16
01-07-1986,10.15
02-07-1986,10.16
03-07-1986,10.13
07-07-1986,10.15
08-07-1986,10.16
09-07-1986,10.14
10-07-1986,10.11
11-07-1986,10.14
14-07-1986,10.09
15-07-1986,10.06
16-07-1986,10.08
17-07-1986,10.12
18-07-1986,10.13
21-07-1986,10.11
22-07-1986,10.14
23-07-1986,10.12
24-07-1986,10.23
25-07-1986,10.26
28-07-1986,10.32
29-07-1986,10.29
30-07-1986,10.28
31-07-1986,10.25
01-08-1986,10.25
04-08-1986,10.24
05-08-1986,10.27
06-08-1986,10.34
07-08-1986,10.33
08-08-1986,10.29
11-08-1986,10.3
12-08-1986,10.29
13-08-1986,10.24
14-08-1986,10.22
15-08-1986,10.26
18-08-1986,10.14
19-08-1986,10.13
20-08-1986,10.11
21-08-1986,10.09
22-08-1986,10.11
25-08-1986,10.06
26-08-1986,10.03
27-08-1986,10.07
28-08-1986,10.03
29-08-1986,10.02
02-09-1986,10.06
03-09-1986,10.08
04-09-1986,10.07
05-09-1986,10.12
08-09-1986,10.21
09-09-1986,10.18
10-09-1986,10.16
11-09-1986,10.25
12-09-1986,10.27
15-09-1986,10.24
16-09-1986,10.23
17-09-1986,10.2
18-09-1986,10.25
19-09-1986,10.29
22-09-1986,10.29
23-09-1986,10.26
24-09-1986,10.22
25-09-1986,10.21
26-09-1986,10.21
29-09-1986,10.29
30-09-1986,10.24
01-10-1986,10.22
02-10-1986,10.26
03-10-1986,10.23
06-10-1986,10.23
07-10-1986,10.23
08-10-1986,10.25
09-10-1986,10.25
10-10-1986,10.23
13-10-1986,10.25
14-10-1986,10.23
15-10-1986,10.24
16-10-1986,10.27
17-10-1986,10.28
20-10-1986,10.3
21-10-1986,10.29
22-10-1986,10.25
23-10-1986,10.23
24-10-1986,10.24
27-10-1986,10.2
28-10-1986,10.22
29-10-1986,10.21
30-10-1986,10.17
31-10-1986,10.16
03-11-1986,10.1
04-11-1986,10.09
05-11-1986,10.06
06-11-1986,10.09
07-11-1986,10.13
10-11-1986,10.14
11-11-1986,10.15
12-11-1986,10.11
13-11-1986,10.11
14-11-1986,10.11
17-11-1986,10.07
18-11-1986,10.07
19-11-1986,10.05
20-11-1986,10.02
21-11-1986,10.01
24-11-1986,9.99
25-11-1986,9.99
26-11-1986,9.99
28-11-1986,10
01-12-1986,10
02-12-1986,10
03-12-1986,9.98
04-12-1986,9.97
05-12-1986,10.02
08-12-1986,9.98
09-12-1986,9.97
10-12-1986,9.95
11-12-1986,9.95
12-12-1986,9.98
15-12-1986,9.98
16-12-1986,9.97
17-12-1986,9.98
18-12-1986,9.98
19-12-1986,9.95
22-12-1986,9.99
23-12-1986,9.99
24-12-1986,9.98
26-12-1986,9.96
29-12-1986,9.92
30-12-1986,9.98
31-12-1986,9.99
02-01-1987,9.97
05-01-1987,9.9
06-01-1987,9.86
07-01-1987,9.82
08-01-1987,9.76
09-01-1987,9.74
12-01-1987,9.72
13-01-1987,9.72
14-01-1987,9.72
15-01-1987,9.69
16-01-1987,9.67
20-01-1987,9.64
21-01-1987,9.64
22-01-1987,9.64
23-01-1987,9.64
26-01-1987,9.67
27-01-1987,9.68
28-01-1987,9.7
29-01-1987,9.68
30-01-1987,9.68
02-02-1987,9.68
03-02-1987,9.65
04-02-1987,9.67
05-02-1987,9.63
06-02-1987,9.61
09-02-1987,9.61
10-02-1987,9.65
11-02-1987,9.69
12-02-1987,9.68
13-02-1987,9.67
17-02-1987,9.68
18-02-1987,9.68
19-02-1987,9.66
20-02-1987,9.67
23-02-1987,9.66
24-02-1987,9.64
25-02-1987,9.62
26-02-1987,9.64
27-02-1987,9.62
02-03-1987,9.63
03-03-1987,9.62
04-03-1987,9.6
05-03-1987,9.59
06-03-1987,9.58
09-03-1987,9.61
10-03-1987,9.62
11-03-1987,9.62
12-03-1987,9.62
13-03-1987,9.59
16-03-1987,9.58
17-03-1987,9.58
18-03-1987,9.57
19-03-1987,9.57
20-03-1987,9.58
23-03-1987,9.59
24-03-1987,9.61
25-03-1987,9.62
26-03-1987,9.62
27-03-1987,9.64
30-03-1987,9.68
31-03-1987,9.7
01-04-1987,9.75
02-04-1987,9.74
03-04-1987,9.75
06-04-1987,9.72
07-04-1987,9.74
08-04-1987,9.74
09-04-1987,9.79
10-04-1987,9.85
13-04-1987,9.92
14-04-1987,10.04
15-04-1987,10.12
16-04-1987,10.12
20-04-1987,10.11
21-04-1987,10.19
22-04-1987,10.22
23-04-1987,10.29
24-04-1987,10.33
27-04-1987,10.38
28-04-1987,10.37
29-04-1987,10.37
30-04-1987,10.37
01-05-1987,10.35
04-05-1987,10.42
05-05-1987,10.41
06-05-1987,10.44
07-05-1987,10.48
08-05-1987,10.48
11-05-1987,10.41
12-05-1987,10.46
13-05-1987,10.45
14-05-1987,10.46
15-05-1987,10.46
18-05-1987,10.52
19-05-1987,10.55
20-05-1987,10.64
21-05-1987,10.71
22-05-1987,10.69
26-05-1987,10.61
27-05-1987,10.56
28-05-1987,10.59
29-05-1987,10.57
01-06-1987,10.54
02-06-1987,10.61
03-06-1987,10.63
04-06-1987,10.62
05-06-1987,10.63
08-06-1987,10.61
09-06-1987,10.61
10-06-1987,10.58
11-06-1987,10.58
12-06-1987,10.52
15-06-1987,10.52
16-06-1987,10.49
17-06-1987,10.47
18-06-1987,10.48
19-06-1987,10.45
22-06-1987,10.43
23-06-1987,10.42
24-06-1987,10.44
25-06-1987,10.43
26-06-1987,10.45
29-06-1987,10.48
30-06-1987,10.5
01-07-1987,10.54
02-07-1987,10.55
06-07-1987,10.53
07-07-1987,10.52
08-07-1987,10.52
09-07-1987,10.51
10-07-1987,10.52
13-07-1987,10.53
14-07-1987,10.57
15-07-1987,10.6
16-07-1987,10.56
17-07-1987,10.57
20-07-1987,10.57
21-07-1987,10.6
22-07-1987,10.64
23-07-1987,10.66
24-07-1987,10.64
27-07-1987,10.71
28-07-1987,10.73
29-07-1987,10.74
30-07-1987,10.76
31-07-1987,10.77
03-08-1987,10.84
04-08-1987,10.86
05-08-1987,10.85
06-08-1987,10.85
07-08-1987,10.79
10-08-1987,10.77
11-08-1987,10.77
12-08-1987,10.76
13-08-1987,10.76
14-08-1987,10.75
17-08-1987,10.71
18-08-1987,10.77
19-08-1987,10.79
20-08-1987,10.77
21-08-1987,10.79
24-08-1987,10.79
25-08-1987,10.79
26-08-1987,10.8
27-08-1987,10.85
28-08-1987,10.88
31-08-1987,10.92
01-09-1987,10.91
02-09-1987,11
03-09-1987,11.1
04-09-1987,11.08
08-09-1987,11.18
09-09-1987,11.26
10-09-1987,11.15
11-09-1987,11.24
14-09-1987,11.26
15-09-1987,11.38
16-09-1987,11.44
17-09-1987,11.45
18-09-1987,11.45
21-09-1987,11.41
22-09-1987,11.43
23-09-1987,11.42
24-09-1987,11.41
25-09-1987,11.44
28-09-1987,11.39
29-09-1987,11.5
30-09-1987,11.54
01-10-1987,11.48
02-10-1987,11.56
05-10-1987,11.57
06-10-1987,11.59
07-10-1987,11.55
08-10-1987,11.66
09-10-1987,11.68
12-10-1987,11.76
13-10-1987,11.72
14-10-1987,11.78
15-10-1987,11.82
16-10-1987,11.82
19-10-1987,12.04
20-10-1987,11.87
21-10-1987,11.8
22-10-1987,11.65
23-10-1987,11.51
26-10-1987,11.38
27-10-1987,11.34
28-10-1987,11.37
29-10-1987,11.35
30-10-1987,11.33
02-11-1987,11.35
03-11-1987,11.38
04-11-1987,11.3
05-11-1987,11.21
06-11-1987,11.17
09-11-1987,11.17
10-11-1987,11.18
11-11-1987,11.19
12-11-1987,11.19
13-11-1987,11.19
16-11-1987,11.21
17-11-1987,11.22
18-11-1987,11.22
19-11-1987,11.23
20-11-1987,11.22
23-11-1987,11.22
24-11-1987,11.21
25-11-1987,11.22
30-11-1987,11.23
01-12-1987,11.23
02-12-1987,11.23
03-12-1987,11.25
04-12-1987,11.21
07-12-1987,11.25
08-12-1987,11.25
09-12-1987,11.24
10-12-1987,11.34
11-12-1987,11.43
14-12-1987,11.42
15-12-1987,11.4
16-12-1987,11.37
17-12-1987,11.34
18-12-1987,11.29
21-12-1987,11.3
22-12-1987,11.31
