Date,Value
02-01-62,4.06
03-01-62,4.03
04-01-62,3.99
05-01-62,4.02
08-01-62,4.03
09-01-62,4.05
10-01-62,4.07
11-01-62,4.08
12-01-62,4.08
15-01-62,4.1
16-01-62,4.13
17-01-62,4.12
18-01-62,4.11
19-01-62,4.11
22-01-62,4.09
23-01-62,4.11
24-01-62,4.1
25-01-62,4.11
26-01-62,4.11
29-01-62,4.12
30-01-62,4.11
31-01-62,4.1
01-02-62,4.09
02-02-62,4.08
05-02-62,4.07
06-02-62,4.06
07-02-62,4.07
08-02-62,4.07
09-02-62,4.05
12-02-62,ND
13-02-62,4.03
14-02-62,4.03
15-02-62,4.02
16-02-62,4.02
19-02-62,4.01
20-02-62,4.05
21-02-62,4.03
22-02-62,ND
23-02-62,4.02
26-02-62,4
27-02-62,4.01
28-02-62,4
01-03-62,3.98
02-03-62,3.98
05-03-62,4
06-03-62,4.01
07-03-62,4
08-03-62,3.98
09-03-62,3.96
12-03-62,3.94
13-03-62,3.92
14-03-62,3.93
15-03-62,3.96
16-03-62,3.96
19-03-62,3.93
20-03-62,3.91
21-03-62,3.86
22-03-62,3.83
23-03-62,3.87
26-03-62,3.89
27-03-62,3.9
28-03-62,3.9
29-03-62,3.9
30-03-62,3.86
02-04-62,3.86
03-04-62,3.83
04-04-62,3.78
05-04-62,3.84
06-04-62,3.81
09-04-62,3.83
10-04-62,3.83
11-04-62,3.87
12-04-62,3.86
13-04-62,3.85
16-04-62,3.83
17-04-62,3.82
18-04-62,3.81
19-04-62,3.82
20-04-62,ND
23-04-62,3.86
24-04-62,3.87
25-04-62,3.88
26-04-62,3.89
27-04-62,3.86
30-04-62,3.86
01-05-62,3.85
02-05-62,3.86
03-05-62,3.86
04-05-62,3.87
07-05-62,3.86
08-05-62,3.85
09-05-62,3.82
10-05-62,3.83
11-05-62,3.82
14-05-62,3.85
15-05-62,3.87
16-05-62,3.86
17-05-62,3.87
18-05-62,3.93
21-05-62,3.94
22-05-62,3.93
23-05-62,3.91
24-05-62,3.9
25-05-62,3.88
28-05-62,3.87
29-05-62,3.89
30-05-62,ND
31-05-62,3.9
01-06-62,3.89
04-06-62,3.88
05-06-62,3.89
06-06-62,3.89
07-06-62,3.87
08-06-62,3.86
11-06-62,3.87
12-06-62,3.86
13-06-62,3.87
14-06-62,3.9
15-06-62,3.89
18-06-62,3.91
19-06-62,3.93
20-06-62,3.92
21-06-62,3.9
22-06-62,3.9
25-06-62,3.95
26-06-62,3.97
27-06-62,3.96
28-06-62,3.98
29-06-62,4
02-07-62,4
03-07-62,4
04-07-62,ND
05-07-62,4
06-07-62,4.02
09-07-62,4.05
10-07-62,4.02
11-07-62,3.99
12-07-62,4
13-07-62,4
16-07-62,4.01
17-07-62,4.03
18-07-62,4.02
19-07-62,4.02
20-07-62,4.01
23-07-62,4
24-07-62,4.01
25-07-62,4.02
26-07-62,4.01
27-07-62,4.02
30-07-62,4.03
31-07-62,4.04
01-08-62,4.03
02-08-62,4
03-08-62,4.01
06-08-62,4.01
07-08-62,4.02
08-08-62,4.01
09-08-62,3.99
10-08-62,3.99
13-08-62,3.99
14-08-62,3.98
15-08-62,3.98
16-08-62,3.96
17-08-62,3.96
20-08-62,3.94
21-08-62,3.94
22-08-62,3.95
23-08-62,3.95
24-08-62,3.95
27-08-62,3.95
28-08-62,3.96
29-08-62,3.96
30-08-62,3.95
31-08-62,3.96
03-09-62,ND
04-09-62,3.96
05-09-62,3.97
06-09-62,3.99
07-09-62,4.01
10-09-62,4
11-09-62,4
12-09-62,4
13-09-62,3.99
14-09-62,3.99
17-09-62,3.99
18-09-62,3.98
19-09-62,3.99
20-09-62,3.98
21-09-62,3.98
24-09-62,3.97
25-09-62,3.96
26-09-62,3.95
27-09-62,3.95
28-09-62,3.94
01-10-62,3.93
02-10-62,3.92
03-10-62,3.9
04-10-62,3.9
05-10-62,3.92
08-10-62,3.93
09-10-62,3.95
10-10-62,3.93
11-10-62,3.94
12-10-62,ND
15-10-62,3.94
16-10-62,3.94
17-10-62,3.94
18-10-62,3.92
19-10-62,3.88
22-10-62,3.91
23-10-62,3.94
24-10-62,3.94
25-10-62,3.94
26-10-62,3.93
29-10-62,3.92
30-10-62,3.92
31-10-62,3.92
01-11-62,3.92
02-11-62,3.91
05-11-62,3.91
06-11-62,ND
07-11-62,3.91
08-11-62,3.9
09-11-62,3.89
12-11-62,ND
13-11-62,3.9
14-11-62,3.91
15-11-62,3.91
16-11-62,3.93
19-11-62,3.93
20-11-62,3.93
21-11-62,3.92
22-11-62,ND
23-11-62,3.92
26-11-62,3.93
27-11-62,3.92
28-11-62,3.92
29-11-62,3.92
30-11-62,3.92
03-12-62,3.93
04-12-62,3.94
05-12-62,3.93
06-12-62,3.92
07-12-62,3.91
10-12-62,3.9
11-12-62,3.89
12-12-62,3.88
13-12-62,3.88
14-12-62,3.87
17-12-62,3.85
18-12-62,3.83
19-12-62,3.84
20-12-62,3.83
21-12-62,3.81
24-12-62,3.79
25-12-62,ND
26-12-62,3.79
27-12-62,3.81
28-12-62,3.84
31-12-62,3.85
01-01-63,ND
02-01-63,3.82
03-01-63,3.81
04-01-63,3.84
07-01-63,3.83
08-01-63,3.81
09-01-63,3.82
10-01-63,3.81
11-01-63,3.8
14-01-63,3.81
15-01-63,3.8
16-01-63,3.8
17-01-63,3.82
18-01-63,3.84
21-01-63,3.85
22-01-63,3.86
23-01-63,3.86
24-01-63,3.86
25-01-63,3.85
28-01-63,3.86
29-01-63,3.86
30-01-63,3.86
31-01-63,3.87
01-02-63,3.88
04-02-63,3.89
05-02-63,3.9
06-02-63,3.91
07-02-63,3.91
08-02-63,3.91
11-02-63,3.92
12-02-63,ND
13-02-63,3.92
14-02-63,3.91
15-02-63,3.91
18-02-63,3.91
19-02-63,3.93
20-02-63,3.94
21-02-63,3.95
22-02-63,ND
25-02-63,3.95
26-02-63,3.95
27-02-63,3.95
28-02-63,3.94
01-03-63,3.93
04-03-63,3.92
05-03-63,3.92
06-03-63,3.91
07-03-63,3.92
08-03-63,3.92
11-03-63,3.92
12-03-63,3.92
13-03-63,3.92
14-03-63,3.92
15-03-63,3.92
18-03-63,3.92
19-03-63,3.92
20-03-63,3.92
21-03-63,3.92
22-03-63,3.93
25-03-63,3.94
26-03-63,3.96
27-03-63,3.96
28-03-63,3.96
29-03-63,3.95
01-04-63,3.95
02-04-63,3.96
03-04-63,3.96
04-04-63,3.95
05-04-63,3.95
08-04-63,3.97
09-04-63,3.98
10-04-63,4
11-04-63,4
12-04-63,ND
15-04-63,4.01
16-04-63,4
17-04-63,4
18-04-63,3.99
19-04-63,3.97
22-04-63,3.97
23-04-63,3.97
24-04-63,3.96
25-04-63,3.95
26-04-63,3.95
29-04-63,3.95
30-04-63,3.95
01-05-63,3.94
02-05-63,3.94
03-05-63,3.93
06-05-63,3.92
07-05-63,3.91
08-05-63,3.92
09-05-63,3.93
10-05-63,3.93
13-05-63,3.92
14-05-63,3.91
15-05-63,3.91
16-05-63,3.9
17-05-63,3.92
20-05-63,3.93
21-05-63,3.92
22-05-63,3.92
23-05-63,3.93
24-05-63,3.95
27-05-63,3.95
28-05-63,3.96
29-05-63,3.96
30-05-63,ND
31-05-63,3.96
03-06-63,3.98
04-06-63,3.98
05-06-63,3.98
06-06-63,3.99
07-06-63,3.99
10-06-63,3.99
11-06-63,3.98
12-06-63,3.99
13-06-63,3.99
14-06-63,3.99
17-06-63,4
18-06-63,4
19-06-63,4
20-06-63,4
21-06-63,4
24-06-63,4
25-06-63,4
26-06-63,4
27-06-63,4
28-06-63,4
01-07-63,4.01
02-07-63,4.03
03-07-63,4.03
04-07-63,ND
05-07-63,4.04
08-07-63,4.05
09-07-63,4.04
10-07-63,4.03
11-07-63,4.04
12-07-63,4.03
15-07-63,4.02
16-07-63,4.02
17-07-63,4.03
18-07-63,4.02
19-07-63,4.02
22-07-63,4.02
23-07-63,4.02
24-07-63,4.01
25-07-63,4.01
26-07-63,3.99
29-07-63,3.99
30-07-63,4
31-07-63,4
01-08-63,3.99
02-08-63,3.99
05-08-63,3.99
06-08-63,4
07-08-63,4.01
08-08-63,4
09-08-63,4
12-08-63,4.01
13-08-63,4.02
14-08-63,4.02
15-08-63,4.01
16-08-63,4
19-08-63,3.99
20-08-63,3.99
21-08-63,4
22-08-63,4
23-08-63,4
26-08-63,4
27-08-63,4
28-08-63,4
29-08-63,4.01
30-08-63,4.02
02-09-63,ND
03-09-63,4.03
04-09-63,4.04
05-09-63,4.08
06-09-63,4.09
09-09-63,4.09
